Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
CABRITO;1.579;0.471;0.0;0.471;0.0;0.0;0.0;0.0;0.378;0.093;0.0;0.0;0.0;0.0;0.943;0.031;0.913;0.903;0.01;0.0;0.0;0.0;0.097;0.018;0.029;0.015;4.0;enero
OTRO OVINO/CAPRINO;0.568;0.422;0.0;0.422;0.0;0.0;0.0;0.0;0.285;0.138;0.0;0.0;0.0;0.0;0.131;0.011;0.121;0.11;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;1.182;0.518;0.0;0.518;0.0;0.0;0.0;0.0;0.474;0.044;0.0;0.0;0.0;0.0;0.428;0.07;0.353;0.342;0.01;0.0;0.0;0.0;0.094;0.074;0.01;0.037;4.0;enero
OVINO/CAPRINO PIEZ;13.55;4.987;0.028;4.956;0.012;0.0;0.0;0.0;4.073;0.948;0.0;0.0;0.0;0.0;9.016;1.398;7.866;7.352;0.53;0.014;0.011;0.007;0.07;0.028;0.11;0.033;4.0;enero
CARNE CERDO;74.283;20.805;0.609;20.376;0.011;0.056;0.048;0.0;17.84;2.79;0.0;0.035;0.036;0.113;63.604;12.5;58.373;50.068;16.379;0.281;0.203;0.226;0.281;0.333;2.088;1.755;3.0;enero
CARNE CERDO ADOBAD;19.6;5.09;0.194;4.897;0.0;0.013;0.033;0.0;4.197;0.679;0.0;0.0;0.0;0.0;14.761;2.127;12.998;10.89;2.62;0.088;0.081;0.0;0.0;0.046;0.282;0.206;4.0;enero
CARN.CERDO IBERICO;6.15;2.278;0.037;2.288;0.0;0.01;0.0;0.0;2.105;0.221;0.0;0.0;0.0;0.023;3.511;0.419;3.169;2.721;0.519;0.026;0.0;0.018;0.083;0.094;0.133;0.138;4.0;enero
CARNE DESPOJOS;14.846;5.088;0.06;5.072;0.0;0.0;0.0;0.0;4.211;0.847;0.0;0.0;0.0;0.031;10.216;1.39;9.07;8.566;0.658;0.052;0.077;0.0;0.0;0.019;0.254;0.225;3.0;enero
DESPOJOS CERDO;8.979;3.108;0.06;3.096;0.0;0.0;0.0;0.0;2.719;0.345;0.0;0.0;0.0;0.031;5.769;0.746;5.136;4.847;0.342;0.057;0.0;0.0;0.0;0.024;0.238;0.069;4.0;enero
DESPOJOS CORDERO;1.436;0.757;0.0;0.757;0.0;0.0;0.0;0.0;0.544;0.215;0.0;0.0;0.0;0.0;0.677;0.036;0.64;0.64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
DESPOJOS POLLO;4.301;0.987;0.0;0.987;0.0;0.0;0.0;0.0;0.814;0.164;0.0;0.0;0.0;0.0;3.401;0.332;3.104;3.008;0.115;0.0;0.077;0.0;0.0;0.018;0.056;0.017;4.0;enero
DESPOJOS TERNERA;3.903;1.458;0.0;1.458;0.0;0.0;0.0;0.0;1.135;0.34;0.0;0.0;0.0;0.0;2.324;0.494;1.85;1.716;0.132;0.012;0.0;0.0;0.0;0.0;0.019;0.15;4.0;enero
DESPOJOS OT.PROCED;0.885;0.311;0.0;0.311;0.0;0.0;0.0;0.0;0.242;0.068;0.0;0.0;0.0;0.0;0.561;0.072;0.49;0.395;0.095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;46.693;7.52;0.242;7.279;0.0;0.01;0.0;0.0;6.311;0.991;0.0;0.0;0.037;0.037;40.843;5.169;37.736;30.511;10.028;0.042;0.007;0.086;0.113;0.011;1.018;0.553;3.0;enero
AVESTRUZ;0.085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.085;0.0;0.085;0.085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
