Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
CABRITO;0.812;0.019;0.0;0.019;0.0;0.0;0.0;0.0;0.019;0.0;0.0;0.0;0.0;0.0;0.775;0.227;0.549;0.549;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.004;4.0;enero
OTRO OVINO/CAPRINO;0.297;0.157;0.0;0.157;0.0;0.0;0.0;0.0;0.118;0.04;0.0;0.0;0.0;0.0;0.138;0.055;0.084;0.084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.896;0.259;0.0;0.259;0.0;0.0;0.0;0.0;0.227;0.032;0.0;0.0;0.0;0.0;0.423;0.045;0.378;0.368;0.01;0.0;0.0;0.0;0.028;0.167;0.0;0.013;4.0;enero
OVINO/CAPRINO PIEZ;11.102;3.853;0.051;3.798;0.0;0.0;0.0;0.0;3.055;0.725;0.0;0.0;0.0;0.0;7.062;1.878;5.216;5.197;0.056;0.019;0.0;0.0;0.0;0.0;0.227;0.101;4.0;enero
CARNE CERDO;72.533;18.29;0.424;18.039;0.018;0.013;0.0;0.0;16.138;2.231;0.0;0.036;0.017;0.19;63.752;11.127;58.657;50.649;16.005;0.42;0.047;0.113;0.102;0.075;1.748;1.802;3.0;enero
CARNE CERDO ADOBAD;20.027;4.469;0.048;4.44;0.0;0.01;0.0;0.0;4.049;0.481;0.0;0.036;0.0;0.0;15.971;1.798;14.533;12.098;2.989;0.087;0.0;0.035;0.01;0.0;0.374;0.336;4.0;enero
CARN.CERDO IBERICO;5.202;1.812;0.053;1.781;0.0;0.0;0.0;0.0;1.495;0.318;0.0;0.0;0.017;0.016;3.196;0.378;2.839;2.668;0.203;0.019;0.0;0.011;0.0;0.0;0.086;0.221;4.0;enero
CARNE DESPOJOS;11.5;4.036;0.02;4.015;0.0;0.0;0.0;0.0;3.18;0.792;0.0;0.036;0.018;0.079;7.764;1.093;6.818;6.476;0.345;0.035;0.0;0.0;0.009;0.014;0.186;0.374;3.0;enero
DESPOJOS CERDO;5.303;2.085;0.008;2.076;0.0;0.0;0.0;0.0;1.597;0.461;0.0;0.0;0.0;0.0;3.294;0.362;2.938;2.763;0.167;0.027;0.0;0.0;0.0;0.014;0.12;0.152;4.0;enero
DESPOJOS CORDERO;1.186;0.76;0.0;0.76;0.0;0.0;0.0;0.0;0.444;0.316;0.0;0.0;0.0;0.0;0.353;0.09;0.263;0.263;0.0;0.0;0.0;0.0;0.0;0.0;0.012;0.056;4.0;enero
