Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
CERVEZAS;40.765;0.622;0.294;0.354;0.011;0.02;0.016;0.0;0.024;0.028;0.0;0.007;0.1;0.153;38.896;9.411;33.451;27.644;9.475;0.131;0.0;0.016;0.0;0.029;1.414;1.633;1.0;enero
CERVEZA CON ALCOHOL;34.593;0.536;0.282;0.281;0.011;0.0;0.016;0.0;0.024;0.028;0.0;0.007;0.091;0.109;32.958;7.927;28.263;23.044;8.194;0.121;0.0;0.016;0.0;0.029;1.18;1.451;2.0;enero
CERVEZA SIN ALCOHOL;12.449;0.099;0.025;0.076;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.05;11.868;2.617;9.798;8.055;2.107;0.018;0.0;0.005;0.0;0.0;0.334;0.271;2.0;enero
CERVEZA ARTESANALES;0.177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.177;0.022;0.159;0.102;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;enero
SIDRAS;2.9;0.006;0.0;0.006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006;2.641;0.657;2.054;1.677;0.486;0.0;0.0;0.0;0.0;0.0;0.115;0.178;1.0;enero
SIDRAS SIN ALCOHOL;0.144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.129;0.056;0.071;0.059;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.015;2.0;enero
T.BEBIDAS ESPIRITUOSA;9.844;0.375;0.071;0.31;0.0;0.0;0.0;0.0;0.019;0.05;0.0;0.0;0.242;0.0;8.647;2.443;6.777;5.776;1.469;0.054;0.046;0.035;0.0;0.0;0.288;0.689;1.0;enero
BRANDY;1.528;0.032;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032;0.0;1.336;0.41;0.993;0.861;0.121;0.0;0.046;0.0;0.0;0.0;0.051;0.073;2.0;enero
WHISKY;2.144;0.092;0.04;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0;1.865;0.539;1.424;1.296;0.205;0.0;0.0;0.0;0.0;0.0;0.083;0.182;2.0;enero
GINEBRA;1.52;0.063;0.017;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.053;0.0;1.328;0.376;0.979;0.811;0.177;0.008;0.0;0.0;0.0;0.0;0.041;0.107;2.0;enero
RON;1.439;0.021;0.021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.285;0.285;1.035;0.879;0.225;0.021;0.0;0.0;0.0;0.0;0.059;0.056;2.0;enero
ANIS;1.16;0.012;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.004;0.281;0.73;0.653;0.103;0.021;0.0;0.0;0.0;0.0;0.0;0.142;2.0;enero
OTR.BEB.ESPIRITUOSAS;4.532;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.019;0.05;0.0;0.0;0.132;0.0;3.975;1.027;3.144;2.43;0.811;0.025;0.0;0.035;0.0;0.0;0.097;0.24;2.0;enero
COMBINADS&DERIVADOS;0.665;0.073;0.021;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.053;0.0;0.534;0.178;0.367;0.3;0.064;0.0;0.0;0.0;0.0;0.0;0.024;0.032;1.0;enero
COMB&DERIV.SIN ALC;0.349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.307;0.098;0.217;0.202;0.014;0.0;0.0;0.0;0.0;0.0;0.024;0.016;2.0;enero
VINAGRE;16.344;0.403;0.161;0.242;0.009;0.0;0.032;0.0;0.0;0.0;0.0;0.062;0.0;0.139;15.355;3.448;12.316;10.03;2.501;0.051;0.0;0.004;0.0;0.0;0.31;0.373;1.0;enero
VINAGRE DE VINO;8.858;0.289;0.15;0.138;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.062;0.0;0.067;8.293;1.688;6.804;5.923;1.024;0.0;0.0;0.0;0.0;0.0;0.1;0.198;2.0;enero
VINAGRE BALSAMICO;4.419;0.072;0.0;0.072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.072;4.219;0.999;3.347;2.439;0.866;0.0;0.0;0.0;0.0;0.0;0.083;0.043;2.0;enero
OTROS VINAGRES;4.233;0.042;0.011;0.032;0.0;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.882;0.917;2.999;2.298;0.699;0.051;0.0;0.004;0.0;0.0;0.125;0.155;2.0;enero
TOTAL ZUMO Y NECTAR;29.259;0.252;0.093;0.159;0.0;0.0;0.047;0.0;0.0;0.0;0.011;0.0;0.033;0.074;28.252;4.611;25.475;20.291;7.365;0.064;0.0;0.05;0.0;0.011;0.661;0.639;1.0;enero
ZUMO FRUTA REFRI/EXP;10.884;0.022;0.0;0.022;0.0;0.0;0.0;0.0;0.0;0.0;0.011;0.0;0.0;0.012;10.619;1.447;9.694;6.955;3.395;0.0;0.0;0.037;0.0;0.0;0.216;0.079;2.0;enero
ZUMO CONCENTRADO;8.24;0.028;0.0;0.028;0.0;0.0;0.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.941;1.208;6.992;5.091;2.277;0.014;0.0;0.005;0.0;0.011;0.176;0.143;2.0;enero
Z.C.NARANJA Y MEZCL;0.992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.931;0.137;0.794;0.658;0.18;0.0;0.0;0.0;0.0;0.011;0.024;0.026;3.0;enero
Z.C.MELOCOTON Y MEZ;2.121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.065;0.287;1.799;1.147;0.721;0.008;0.0;0.0;0.0;0.0;0.039;0.019;3.0;enero
Z.C.PIÑA Y MEZCLAS;2.267;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.204;0.145;2.078;1.984;0.093;0.0;0.0;0.005;0.0;0.0;0.062;0.008;3.0;enero
Z.C. OTROS;4.155;0.028;0.0;0.028;0.0;0.0;0.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.951;0.812;3.302;1.959;1.51;0.014;0.0;0.0;0.0;0.0;0.107;0.104;3.0;enero
NECTARES;14.026;0.177;0.083;0.095;0.0;0.0;0.014;0.0;0.0;0.0;0.0;0.0;0.033;0.053;13.365;2.268;11.824;10.008;2.371;0.051;0.0;0.0;0.0;0.0;0.301;0.394;2.0;enero
NEC.LIGHT O S.AZUC.;11.077;0.105;0.06;0.045;0.0;0.0;0.014;0.0;0.0;0.0;0.0;0.0;0.033;0.0;10.573;1.401;9.613;8.199;1.721;0.024;0.0;0.0;0.0;0.0;0.214;0.3;3.0;enero
ZUMOS DE HORTALIZAS;0.674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.64;0.123;0.531;0.491;0.041;0.0;0.0;0.0;0.0;0.0;0.024;0.015;2.0;enero
ZUMO Y NECTAR RESTO;2.032;0.03;0.01;0.018;0.0;0.0;0.006;0.0;0.0;0.0;0.0;0.0;0.0;0.012;1.933;0.52;1.469;1.261;0.226;0.006;0.0;0.009;0.0;0.0;0.052;0.05;2.0;enero
HORCHATAS;1.457;0.017;0.01;0.006;0.0;0.0;0.006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.387;0.442;1.017;0.885;0.149;0.0;0.0;0.009;0.0;0.0;0.052;0.035;3.0;enero
ZUMOS ENRIQUECIDOS;15.195;0.08;0.013;0.067;0.0;0.0;0.014;0.0;0.0;0.0;0.0;0.0;0.0;0.053;14.742;1.749;13.36;11.04;2.761;0.014;0.0;0.005;0.0;0.011;0.337;0.158;2.0;enero
Z.E.CON CALCIO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;enero
Z.E.CON VITAMINAS;14.77;0.08;0.013;0.067;0.0;0.0;0.014;0.0;0.0;0.0;0.0;0.0;0.0;0.053;14.317;1.588;13.093;10.927;2.544;0.014;0.0;0.005;0.0;0.011;0.337;0.158;3.0;enero
Z.E.CON CAL.Y VIT.;0.014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014;0.004;0.009;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;enero
Z.E.CON OTROS;0.534;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.52;0.186;0.347;0.128;0.232;0.0;0.0;0.0;0.0;0.0;0.015;0.0;3.0;enero
TOTAL PATATAS;78.045;22.363;1.466;21.342;0.03;0.221;0.066;0.0;0.219;2.914;0.0;0.112;0.016;18.306;66.445;14.383;60.194;49.976;18.823;0.693;3.129;0.283;0.979;0.34;1.983;2.995;1.0;enero
PATATAS FRESCAS;63.175;21.903;1.0;21.098;0.011;0.0;0.059;0.0;0.149;2.883;0.0;0.051;0.0;18.333;42.27;7.923;36.83;29.1;9.452;0.683;3.137;0.164;0.979;0.34;1.069;1.868;2.0;enero
PATATAS CONGELADAS;11.041;0.284;0.011;0.273;0.019;0.221;0.0;0.0;0.0;0.024;0.0;0.0;0.0;0.01;10.484;1.161;9.584;7.685;2.375;0.034;0.0;0.018;0.0;0.0;0.253;0.135;2.0;enero
PATATAS PROCESADAS;46.294;0.971;0.565;0.408;0.0;0.0;0.014;0.0;0.067;0.034;0.0;0.066;0.016;0.211;44.234;8.562;39.359;31.433;11.981;0.109;0.021;0.109;0.0;0.0;1.092;1.434;2.0;enero
PATATAS FRITAS;44.237;0.974;0.565;0.41;0.0;0.0;0.014;0.0;0.067;0.034;0.0;0.066;0.016;0.213;42.238;8.013;37.711;29.923;11.567;0.097;0.021;0.109;0.0;0.0;0.977;1.42;3.0;enero
