Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
CACAHUETE CON CASC.;3.709;0.116;0.008;0.107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.107;3.579;0.347;3.393;2.855;0.634;0.0;0.0;0.0;0.0;0.0;0.044;0.035;3.0;enero
CACAHUETE SIN CASC.;8.778;0.203;0.043;0.161;0.0;0.0;0.0;0.0;0.0;0.122;0.0;0.0;0.0;0.043;8.304;0.867;7.595;5.375;2.552;0.0;0.073;0.0;0.0;0.0;0.147;0.205;3.0;enero
FRUTOS SEC.NUECES;13.842;1.64;0.157;1.468;0.0;0.0;0.0;0.019;0.037;0.31;0.0;0.0;0.0;1.108;11.32;1.838;9.734;7.016;2.891;0.09;0.323;0.056;0.06;0.0;0.198;0.621;2.0;enero
NUECES CON CASCARA;4.441;1.306;0.122;1.179;0.0;0.0;0.0;0.0;0.037;0.194;0.0;0.0;0.0;0.949;2.409;0.414;2.085;1.808;0.299;0.083;0.323;0.038;0.06;0.0;0.097;0.443;3.0;enero
NUECES SIN CASCARA;9.805;0.341;0.035;0.298;0.0;0.0;0.0;0.019;0.0;0.106;0.0;0.0;0.0;0.159;9.22;1.44;7.899;5.416;2.589;0.007;0.0;0.018;0.0;0.0;0.124;0.206;3.0;enero
AVELLANA;4.218;0.265;0.073;0.192;0.0;0.0;0.058;0.0;0.0;0.0;0.0;0.03;0.0;0.104;3.849;0.611;3.256;2.674;0.786;0.078;0.0;0.0;0.018;0.0;0.03;0.172;2.0;enero
PISTACHO;8.377;0.435;0.041;0.393;0.0;0.0;0.0;0.0;0.0;0.339;0.0;0.01;0.0;0.044;7.834;1.129;6.932;5.478;1.644;0.0;0.018;0.038;0.0;0.0;0.194;0.137;2.0;enero
SURTIDO;15.634;0.415;0.078;0.329;0.0;0.0;0.009;0.0;0.0;0.138;0.0;0.055;0.0;0.134;14.913;1.752;13.694;10.714;3.54;0.011;0.02;0.0;0.0;0.021;0.259;0.385;2.0;enero
OTROS FRUTOS SECOS;40.698;2.225;0.538;1.707;0.0;0.0;0.477;0.0;0.004;0.719;0.0;0.082;0.0;0.449;38.543;6.545;34.707;29.163;8.477;0.073;0.234;0.011;0.127;0.082;0.565;1.391;2.0;enero
CASTAÑAS;0.347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.347;0.0;0.347;0.347;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;enero
T.FRUTA&HORTA.TRANSF;81.109;4.318;0.764;3.798;0.028;2.293;0.074;0.0;0.551;0.346;0.0;0.027;0.016;0.454;78.763;17.862;72.939;63.482;23.78;0.444;0.142;0.533;0.068;0.032;3.072;2.245;1.0;enero
FRUTA&HORTA.CONSERVA;76.061;1.961;0.729;1.297;0.0;0.0;0.075;0.0;0.528;0.281;0.0;0.027;0.016;0.386;73.897;16.441;67.396;57.858;20.584;0.348;0.142;0.113;0.068;0.009;2.598;2.03;2.0;enero
GUISANTES;6.306;0.046;0.007;0.039;0.0;0.0;0.0;0.0;0.018;0.021;0.0;0.0;0.0;0.0;6.059;1.005;5.151;4.406;0.886;0.033;0.0;0.0;0.0;0.0;0.227;0.028;3.0;enero
JUDIAS VERDES;5.012;0.037;0.022;0.015;0.0;0.0;0.0;0.0;0.015;0.0;0.0;0.0;0.0;0.0;4.854;1.141;3.844;3.018;0.882;0.0;0.0;0.0;0.0;0.0;0.119;0.057;2.0;enero
PIMIENTOS;13.645;0.208;0.068;0.141;0.0;0.0;0.0;0.0;0.039;0.0;0.0;0.027;0.016;0.062;12.792;2.651;10.511;8.532;2.346;0.127;0.0;0.005;0.0;0.0;0.419;0.234;2.0;enero
ESPARRAGOS;14.366;0.39;0.128;0.262;0.0;0.0;0.0;0.0;0.125;0.072;0.0;0.0;0.0;0.063;13.572;2.644;11.217;9.253;2.49;0.095;0.066;0.0;0.0;0.0;0.309;0.217;2.0;enero
ALCACHOFAS;5.047;0.168;0.05;0.117;0.0;0.0;0.0;0.0;0.059;0.025;0.0;0.0;0.0;0.038;4.679;0.75;3.939;3.263;0.713;0.008;0.054;0.0;0.0;0.009;0.121;0.097;3.0;enero
CHAMPIÑOSNES+SETAS;7.878;0.145;0.101;0.042;0.0;0.0;0.0;0.0;0.021;0.021;0.0;0.0;0.0;0.0;7.324;1.391;6.097;5.234;0.969;0.074;0.0;0.01;0.0;0.0;0.278;0.162;3.0;enero
MAIZ DULCE;18.254;0.21;0.139;0.074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.074;17.4;3.022;14.786;12.368;2.854;0.01;0.0;0.095;0.0;0.0;0.621;0.182;3.0;enero
MENESTRA;3.257;0.047;0.0;0.047;0.0;0.0;0.009;0.0;0.025;0.0;0.0;0.0;0.0;0.013;3.088;0.544;2.611;1.526;1.128;0.0;0.0;0.0;0.0;0.0;0.116;0.008;3.0;enero
TOMATES;53.307;0.582;0.4;0.182;0.0;0.0;0.066;0.0;0.049;0.0;0.0;0.0;0.0;0.069;51.401;8.802;46.112;38.008;11.466;0.255;0.0;0.011;0.0;0.0;1.655;0.781;2.0;enero
TOMATE FRITO;42.225;0.472;0.316;0.149;0.0;0.0;0.041;0.0;0.042;0.0;0.0;0.0;0.0;0.069;40.468;6.547;35.755;28.818;8.471;0.247;0.0;0.011;0.0;0.0;1.345;0.456;4.0;enero
TOMATE NATURAL;21.868;0.129;0.099;0.033;0.0;0.0;0.024;0.0;0.009;0.0;0.0;0.0;0.0;0.0;21.036;3.606;18.479;15.251;4.305;0.015;0.0;0.0;0.0;0.0;0.519;0.417;4.0;enero
TOMATE N.ENTERO;3.421;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.233;0.399;2.847;2.388;0.569;0.0;0.0;0.0;0.0;0.0;0.082;0.12;5.0;enero
