Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
P.P.GAZPACHO/SALMOR;32.288;0.278;0.109;0.163;0.0;0.0;0.042;0.0;0.034;0.0;0.0;0.0;0.029;0.057;31.54;5.149;28.843;22.426;9.548;0.01;0.0;0.008;0.0;0.0;0.832;0.156;3.0;enero
P.P.SOPAS Y CR.HORT;5.696;0.007;0.0;0.007;0.0;0.0;0.007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.506;0.899;4.696;4.037;0.72;0.0;0.0;0.018;0.0;0.0;0.18;0.036;3.0;enero
P.P.PIZZA;33.912;0.373;0.083;0.297;0.0;0.091;0.018;0.032;0.033;0.103;0.0;0.115;0.0;0.0;32.065;6.274;27.888;22.444;7.414;0.066;0.0;0.803;0.0;0.0;0.934;1.029;2.0;enero
P.P.PASTA RESTO;9.936;0.639;0.059;0.575;0.0;0.056;0.008;0.0;0.252;0.253;0.0;0.0;0.0;0.0;8.635;1.893;7.121;6.051;1.346;0.01;0.0;0.085;0.0;0.0;0.284;0.796;2.0;enero
TORTILLAS REFRIGERAD;12.363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.216;1.255;11.251;8.861;3.029;0.012;0.0;0.0;0.0;0.0;0.157;0.045;2.0;enero
PLAT.PREP.OTROS;47.583;4.421;0.181;4.235;0.015;0.327;0.063;0.021;2.077;0.922;0.0;0.607;0.649;0.123;41.668;7.587;37.438;30.463;11.601;0.067;0.191;2.188;0.0;0.123;1.546;3.736;2.0;enero
CAFES E INFUSIONES;62.602;2.181;0.519;1.836;0.0;0.0;1.1;0.293;0.017;0.131;0.0;0.211;0.0;0.093;58.059;14.51;49.848;42.413;11.84;0.298;0.147;0.139;0.0;0.015;2.59;3.432;1.0;enero
CAFE G. O M.TORREFAC;0.466;0.013;0.0;0.013;0.0;0.0;0.0;0.0;0.0;0.013;0.0;0.0;0.0;0.0;0.414;0.134;0.282;0.264;0.017;0.008;0.0;0.0;0.0;0.0;0.0;0.023;2.0;enero
CAFE G. O M.NATURAL;26.297;0.383;0.112;0.29;0.0;0.0;0.063;0.018;0.0;0.0;0.0;0.187;0.0;0.028;22.86;5.796;18.289;14.795;4.417;0.126;0.0;0.06;0.0;0.0;1.173;2.061;2.0;enero
CAFE G. O M.MEZCLA;11.956;0.043;0.034;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009;11.396;2.343;9.589;8.236;1.666;0.02;0.0;0.016;0.0;0.0;0.277;0.305;2.0;enero
CAFE G. O M.DESCA;10.921;0.084;0.033;0.05;0.0;0.0;0.0;0.0;0.017;0.0;0.0;0.0;0.0;0.031;9.723;1.711;8.315;6.892;1.842;0.037;0.0;0.0;0.0;0.0;0.438;0.58;2.0;enero
CAFE SOLUBLE;18.883;0.259;0.216;0.127;0.0;0.0;0.0;0.018;0.0;0.086;0.0;0.024;0.0;0.0;17.616;3.757;14.707;12.379;2.737;0.138;0.0;0.027;0.0;0.015;0.554;0.576;2.0;enero
DESCAFEINADO CS;7.164;0.159;0.081;0.077;0.0;0.0;0.0;0.0;0.0;0.077;0.0;0.0;0.0;0.0;6.534;0.959;5.796;4.997;0.816;0.147;0.0;0.0;0.0;0.0;0.169;0.195;3.0;enero
NO DESCAFEINADO CS;13.421;0.184;0.135;0.05;0.0;0.0;0.0;0.018;0.0;0.008;0.0;0.024;0.0;0.0;12.545;2.915;10.208;8.473;2.034;0.087;0.0;0.027;0.0;0.015;0.385;0.416;3.0;enero
SUCEDANEOS DE CAFE;2.61;0.009;0.0;0.009;0.0;0.0;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.49;0.321;2.168;1.963;0.21;0.0;0.0;0.016;0.0;0.0;0.036;0.079;2.0;enero
CAFE EN CAPSULAS;19.939;0.09;0.044;0.046;0.0;0.0;0.0;0.018;0.0;0.0;0.0;0.026;0.0;0.0;17.219;3.938;14.47;12.315;3.016;0.097;0.0;0.027;0.0;0.015;1.277;1.449;2.0;enero
DESCAFEINADO CPS;6.664;0.013;0.013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.512;0.962;4.733;4.122;0.755;0.092;0.0;0.0;0.0;0.0;0.353;0.533;3.0;enero
NO DESCAFEINADO CPS;17.021;0.078;0.031;0.046;0.0;0.0;0.0;0.018;0.0;0.0;0.0;0.026;0.0;0.0;14.724;3.369;12.201;10.253;2.582;0.065;0.0;0.027;0.0;0.015;1.034;1.224;3.0;enero
INFUSIONES;21.351;1.542;0.186;1.394;0.0;0.0;1.065;0.28;0.0;0.044;0.0;0.0;0.0;0.026;19.403;4.042;16.506;14.503;2.909;0.099;0.147;0.051;0.0;0.0;0.582;0.638;2.0;enero
INFUSIONES ENVASADO;21.008;1.16;0.186;0.999;0.0;0.0;0.67;0.28;0.0;0.044;0.0;0.0;0.0;0.026;19.356;3.992;16.473;14.434;2.909;0.099;0.029;0.051;0.0;0.0;0.582;0.584;3.0;enero
