Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
CABRITO;0.532;0.167;0.0;0.167;0.0;0.0;0.0;0.0;0.104;0.053;0.0;0.009;0.0;0.0;0.333;0.057;0.277;0.227;0.051;0.0;0.0;0.0;0.017;0.007;0.0;0.009;4.0;enero
OTRO OVINO/CAPRINO;0.337;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.206;0.043;0.0;0.0;0.0;0.0;0.079;0.0;0.079;0.03;0.049;0.0;0.0;0.0;0.0;0.007;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.559;0.258;0.0;0.258;0.0;0.0;0.0;0.0;0.214;0.044;0.0;0.0;0.0;0.0;0.169;0.055;0.111;0.061;0.049;0.0;0.0;0.0;0.068;0.043;0.0;0.019;4.0;enero
OVINO/CAPRINO PIEZ;10.595;3.879;0.011;3.866;0.0;0.0;0.0;0.0;2.939;0.951;0.0;0.009;0.0;0.0;6.687;1.323;5.494;4.938;0.616;0.081;0.044;0.0;0.0;0.0;0.07;0.215;4.0;enero
CARNE CERDO;69.079;17.443;0.674;17.111;0.0;0.019;0.0;0.0;14.838;2.279;0.0;0.055;0.029;0.145;59.363;10.547;53.956;45.119;15.401;0.28;0.119;0.491;0.052;0.109;1.593;1.349;3.0;enero
CARNE CERDO ADOBAD;17.536;4.476;0.271;4.237;0.0;0.019;0.0;0.0;3.819;0.357;0.0;0.0;0.0;0.04;13.265;1.583;11.851;9.261;2.909;0.014;0.042;0.149;0.015;0.0;0.261;0.132;4.0;enero
CARN.CERDO IBERICO;5.658;2.318;0.148;2.261;0.0;0.0;0.0;0.0;1.945;0.281;0.0;0.0;0.0;0.022;3.53;0.516;3.017;2.611;0.418;0.03;0.0;0.0;0.0;0.0;0.018;0.072;4.0;enero
CARNE DESPOJOS;9.955;3.862;0.0;3.862;0.0;0.0;0.0;0.0;3.136;0.754;0.0;0.0;0.0;0.022;6.447;0.646;5.904;5.641;0.289;0.037;0.0;0.0;0.0;0.0;0.195;0.21;3.0;enero
DESPOJOS CERDO;5.268;2.251;0.0;2.251;0.0;0.0;0.0;0.0;1.83;0.403;0.0;0.0;0.0;0.0;3.161;0.342;2.87;2.702;0.192;0.0;0.0;0.0;0.0;0.0;0.11;0.083;4.0;enero
DESPOJOS CORDERO;0.884;0.491;0.0;0.491;0.0;0.0;0.0;0.0;0.381;0.129;0.0;0.0;0.0;0.015;0.373;0.026;0.348;0.348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;4.0;enero
DESPOJOS POLLO;2.764;0.586;0.0;0.586;0.0;0.0;0.0;0.0;0.458;0.104;0.0;0.0;0.0;0.007;2.053;0.19;1.908;1.898;0.01;0.004;0.0;0.0;0.0;0.0;0.081;0.054;4.0;enero
DESPOJOS TERNERA;2.663;1.288;0.0;1.288;0.0;0.0;0.0;0.0;1.039;0.249;0.0;0.0;0.0;0.0;1.314;0.188;1.129;1.051;0.073;0.033;0.0;0.0;0.0;0.0;0.057;0.059;4.0;enero
DESPOJOS OT.PROCED;0.47;0.192;0.0;0.192;0.0;0.0;0.0;0.0;0.136;0.056;0.0;0.0;0.0;0.0;0.275;0.0;0.275;0.26;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;41.578;6.488;0.187;6.296;0.0;0.0;0.051;0.0;4.9;1.328;0.0;0.025;0.019;0.022;36.857;4.71;33.765;25.602;10.751;0.081;0.0;0.009;0.21;0.0;0.739;0.287;3.0;enero
AVESTRUZ;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.0;0.12;0.114;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
