Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
BERBERECHOS;3.814;0.078;0.061;0.017;0.0;0.0;0.0;0.0;0.007;0.01;0.0;0.0;0.0;0.0;3.539;0.741;2.874;2.384;0.521;0.011;0.012;0.0;0.0;0.0;0.126;0.069;3.0;enero
ALMEJAS;2.202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.103;0.341;1.778;1.527;0.308;0.0;0.0;0.0;0.0;0.0;0.082;0.039;3.0;enero
CALAMARES;5.19;0.037;0.027;0.01;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.984;1.32;3.766;3.243;0.57;0.052;0.0;0.0;0.0;0.0;0.125;0.078;3.0;enero
PULPO;0.56;0.018;0.0;0.018;0.0;0.0;0.0;0.0;0.018;0.0;0.0;0.0;0.0;0.0;0.49;0.174;0.31;0.31;0.0;0.011;0.0;0.0;0.0;0.0;0.0;0.042;3.0;enero
ANCHOAS;9.596;0.429;0.182;0.247;0.034;0.0;0.0;0.0;0.004;0.212;0.0;0.0;0.0;0.0;8.821;0.965;7.978;6.817;1.3;0.013;0.182;0.0;0.0;0.0;0.115;0.138;3.0;enero
SALMON AHUMADO;12.889;0.3;0.0;0.3;0.082;0.073;0.009;0.0;0.131;0.0;0.0;0.0;0.0;0.0;12.297;1.929;10.862;9.395;1.759;0.015;0.0;0.0;0.0;0.0;0.23;0.182;3.0;enero
TRUCHA AHUMADA;0.34;0.013;0.0;0.013;0.0;0.0;0.0;0.0;0.0;0.013;0.0;0.0;0.0;0.0;0.318;0.064;0.269;0.155;0.106;0.0;0.0;0.0;0.0;0.0;0.008;0.0;3.0;enero
OTROS AHUMADOS;1.683;0.04;0.012;0.029;0.022;0.0;0.0;0.0;0.0;0.007;0.0;0.0;0.0;0.0;1.52;0.179;1.337;1.222;0.115;0.012;0.073;0.0;0.0;0.0;0.009;0.012;3.0;enero
OTRAS CONS.PESCADO;34.83;2.55;0.228;2.324;0.744;0.344;0.032;0.0;0.175;0.866;0.0;0.0;0.01;0.189;32.076;5.019;28.732;22.457;8.15;0.098;0.615;0.058;0.0;0.071;0.632;0.888;3.0;enero
BOQUERONES;4.407;0.077;0.0;0.077;0.057;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.01;0.0;4.173;0.609;3.601;3.342;0.311;0.0;0.0;0.0;0.0;0.0;0.114;0.058;4.0;enero
PESCADO SALADO;8.4;2.24;0.151;2.089;0.599;0.334;0.0;0.0;0.148;0.866;0.0;0.0;0.0;0.189;5.13;0.797;4.385;3.919;0.48;0.0;0.553;0.048;0.0;0.071;0.086;0.487;4.0;enero
SUSHI;1.366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.324;0.131;1.225;0.628;0.632;0.0;0.0;0.0;0.0;0.0;0.03;0.013;4.0;enero
TOTAL LECHE LIQUIDA;81.302;1.044;0.447;0.615;0.0;0.0;0.014;0.0;0.053;0.052;0.067;0.114;0.105;0.275;78.687;18.505;70.167;60.254;19.978;0.299;0.127;0.198;0.062;0.185;3.025;2.361;1.0;enero
