Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
MARISCO/MOLUSC COCI;15.817;1.259;0.061;1.198;0.77;0.341;0.0;0.0;0.028;0.04;0.0;0.0;0.0;0.011;14.191;3.37;11.276;9.65;1.791;0.009;0.0;0.117;0.0;0.0;0.285;0.123;3.0;enero
ALMEJAS,BERBERECHO;9.571;4.123;0.103;4.098;2.573;0.582;0.0;0.0;0.0;1.027;0.0;0.0;0.0;0.0;5.627;0.808;5.013;3.672;1.386;0.0;0.02;0.0;0.0;0.0;0.021;0.053;3.0;enero
ALMEJAS CONGELADO;2.443;0.771;0.024;0.747;0.141;0.582;0.0;0.0;0.0;0.017;0.0;0.0;0.0;0.0;1.659;0.081;1.588;0.459;1.133;0.0;0.0;0.0;0.0;0.0;0.0;0.043;4.0;enero
BERBEREC.CONGELADO;0.038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012;0.0;0.012;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;4.0;enero
ALMEJAS,BERB.FRESC;7.258;3.395;0.079;3.396;2.426;0.0;0.0;0.0;0.0;1.028;0.0;0.0;0.0;0.0;4.048;0.724;3.436;3.204;0.255;0.0;0.02;0.0;0.0;0.0;0.021;0.012;4.0;enero
MEJILLON;11.47;4.754;0.0;4.754;3.067;0.667;0.0;0.0;0.0;0.942;0.0;0.0;0.0;0.049;6.927;0.985;6.114;5.51;0.691;0.0;0.085;0.0;0.019;0.0;0.105;0.163;3.0;enero
MEJILLON CONGELADO;1.338;0.871;0.0;0.871;0.025;0.667;0.0;0.0;0.0;0.179;0.0;0.0;0.0;0.0;0.404;0.021;0.383;0.158;0.226;0.0;0.065;0.0;0.0;0.0;0.0;0.0;4.0;enero
MEJILLON FRESCO;10.341;3.834;0.0;3.834;3.04;0.0;0.0;0.0;0.0;0.74;0.0;0.0;0.0;0.049;6.615;0.981;5.746;5.371;0.464;0.0;0.02;0.0;0.019;0.0;0.105;0.163;4.0;enero
CALAMARES,PULPO;19.061;5.653;0.043;5.605;3.211;1.298;0.0;0.0;0.0;1.126;0.0;0.0;0.0;0.002;13.986;1.746;12.465;10.379;2.6;0.0;0.0;0.164;0.0;0.0;0.259;0.23;3.0;enero
CALAMARES CONGELAD;9.116;1.66;0.025;1.634;0.442;0.99;0.0;0.0;0.0;0.205;0.0;0.0;0.0;0.002;7.31;0.737;6.67;4.859;2.152;0.0;0.0;0.061;0.0;0.0;0.159;0.064;4.0;enero
PULPO CONGELADO;0.659;0.367;0.0;0.367;0.057;0.326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.262;0.0;0.262;0.262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;4.0;enero
