Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
VINOS TRANQUILOS;;54.597;57.724;53.957;55.528;55.009;50.784;56.757;43.268;51.545;52.767;56.908;44.257;48.273;60.224;59.881;60.047;53.161;58.935;53.796;52.031;58.754;55.524;52.382;49.763;48.604;58.319;54.278;64.335;46.395;55.753;54.662;53.506;58.52;44.628;48.065;43.269;52.459;60.614;53.702;64.331;51.836;60.32;4.0;VALOR
TRANQUILO NACIONA;;53.711;57.021;52.308;54.921;54.475;49.671;55.948;41.844;50.493;51.815;56.095;43.679;46.939;59.46;59.181;59.315;52.53;58.144;52.809;50.815;57.046;54.995;51.744;49.035;48.411;57.594;52.906;64.296;45.103;54.538;53.899;52.636;57.719;44.864;46.776;41.845;51.292;59.676;52.286;63.613;51.104;59.663;5.0;VALOR
TRANQUILO EXTRANJ;;4.869;6.146;4.943;4.983;3.746;4.397;4.921;4.045;5.381;4.85;4.925;3.304;5.045;5.453;4.842;5.14;4.281;5.358;5.345;4.623;8.313;4.349;4.296;3.722;1.645;3.463;5.616;4.1;4.131;5.591;4.274;4.99;6.187;2.528;6.687;4.046;5.173;5.962;5.325;6.256;3.674;4.783;5.0;VALOR
TRANQUILO TINTO;;42.694;46.671;41.905;43.459;42.258;38.873;44.435;33.522;40.301;40.963;44.909;31.668;36.359;49.002;46.98;47.996;40.418;46.612;42.825;40.728;45.073;45.605;43.296;36.848;39.164;44.729;41.762;50.009;36.495;43.689;43.379;41.093;45.403;28.361;33.941;33.524;41.395;48.742;40.198;53.7;42.734;46.948;5.0;VALOR
TRANQUILO BLANCO;;34.091;37.46;33.851;36.204;31.917;30.435;36.169;22.984;30.078;33.083;35.345;26.769;29.161;36.841;39.19;38.002;34.205;38.002;32.198;31.238;40.338;32.724;25.191;34.504;26.465;36.868;33.907;46.972;24.192;36.404;33.46;32.496;39.91;31.717;32.435;22.986;31.333;35.688;33.681;40.183;30.891;39.484;5.0;VALOR
TRANQUILO ROSADO;;6.595;7.224;5.284;7.286;7.286;5.871;6.869;5.392;6.795;6.427;6.795;4.312;5.75;7.948;7.051;7.508;4.946;8.504;6.267;6.623;11.093;7.4;4.908;5.012;5.044;4.268;6.454;4.426;5.883;6.024;6.335;7.187;7.479;2.613;6.375;5.394;6.783;7.31;6.495;10.051;6.46;6.692;5.0;VALOR
ESPUM(IN.CAVA)+GAS;;31.032;32.514;29.392;31.813;28.878;31.336;32.981;20.855;27.423;28.965;33.55;20.036;24.611;35.636;36.322;35.969;30.056;33.779;30.419;29.914;38.606;30.392;33.814;26.503;30.357;21.529;35.643;17.556;31.194;29.384;30.052;32.797;32.741;23.402;23.427;20.86;29.377;38.165;29.495;36.964;26.982;36.784;4.0;VALOR
ESPUMOSOS(IN.CAVA;;30.875;32.27;29.052;31.611;28.836;31.346;32.837;20.815;27.088;28.805;33.394;19.662;24.535;35.444;36.147;35.786;30.06;33.512;30.154;29.801;38.386;30.018;33.723;26.454;30.162;21.333;35.561;17.567;30.37;29.06;29.953;32.699;32.717;23.402;23.135;20.82;29.173;38.178;29.069;36.456;26.986;36.74;5.0;VALOR
GASIFICADOS;;0.594;0.711;0.824;0.532;0.441;0.428;0.605;0.186;0.641;0.527;0.652;0.693;0.304;0.756;0.612;0.683;0.111;0.734;0.901;0.666;1.031;1.401;0.166;0.203;0.563;0.236;0.138;0.539;1.084;0.722;0.515;0.542;0.53;0.0;0.391;0.186;0.626;0.555;1.493;1.281;0.327;0.271;5.0;VALOR
VINOS DE AGUJA;;3.749;4.109;4.183;3.041;5.128;3.126;3.872;3.041;3.88;3.825;3.673;1.405;4.028;3.884;3.9;3.88;3.031;4.24;2.988;4.741;5.01;3.988;2.167;4.816;2.792;2.612;5.525;2.756;7.167;4.432;3.294;3.703;3.966;1.597;2.83;3.043;6.015;3.698;3.262;3.834;3.17;4.233;4.0;VALOR
