Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
CARNE OVINO/CAPRINO;;559383.62;101003.154;34824.443;11907.8561;58926.75299999999;18764.954299999998;49056.657;80042.566;36980.378000000004;7078.12848;56265.55100000001;26776.177300000003;9878.571;3032.03687;37048.941999999995;9401.4059;12845.1969;5550.82804;3.0;VALOR
CORDERO;;486050.89;82256.52199999998;31714.019;11195.558;55188.117;16507.7046;42241.437000000005;72031.302;34229.932799999995;6389.81518;48536.21400000001;18268.1819;8612.7565;2444.419681;33003.439000000006;8392.2094;11352.354;3686.98251;4.0;VALOR
CABRITO;;57603.503;16394.6051;1061.5961;694.72094;3256.81819;2071.5160199999996;5535.87277;7117.180439999999;1705.1982560000001;536.98474;2415.407721;8350.395629999999;1104.707652;257.03578;3722.5250260000003;616.0958400000001;1474.888456;1287.95407;4.0;VALOR
OTRO OVINO/CAPRINO;;15729.153600000001;2352.033807;2048.82819;17.5758;481.82034000000004;185.73506999999998;1279.34431;894.09013;1045.25152;151.32934;5313.933349999999;157.600684;161.106657;330.581779;322.976481;393.10042999999996;17.95474;575.8912;4.0;VALOR
OVINO/CAPRINO ENTE;;130938.008;13509.6653;3353.8185599999997;2655.0997;4916.3035899999995;3553.48369;10658.397439999999;18355.765;12010.40514;2935.4162800000004;25122.868300000002;12889.358900000001;1737.7449000000001;642.73138;11196.19255;3209.1523399999996;2059.2296;2132.37568;4.0;VALOR
OVINO/CAPRINO PIEZ;;428445.5900000001;87493.48999999999;31470.625;9252.7566;54010.452000000005;15211.4709;38398.256;61686.806999999986;24969.972700000002;4142.71248;31142.683999999997;13886.8181;8140.8258;2389.305477;25852.7453;6192.2527;10785.9682;3418.4515399999996;4.0;VALOR
CARNE CERDO;;3176723.2999999993;545759.9299999999;102484.68600000002;71168.253;339348.51;98341.077;520504.27999999997;380108.86;169177.13;66341.912;234165.28999999998;223529.64;68806.13200000001;28543.435999999998;164489.13999999998;27105.596999999994;49162.617;87686.79100000001;3.0;VALOR
CARNE CERDO ADOBAD;;331449.37;34568.005;8775.997;3661.5094999999997;29548.113;7219.489799999999;38930.778000000006;70606.49199999998;21379.112999999998;6765.681799999999;37840.581000000006;16490.498;7799.161400000001;4426.2762;27174.321000000004;2761.5978999999998;4662.868;8838.914;4.0;VALOR
CARN.CERDO IBERICO;;141386.055;24339.681000000004;3226.5141;1364.82324;8744.3943;3336.04255;41510.28600000001;19647.241;4888.8398;4672.1547;9348.0128;4847.7053000000005;2345.34073;1145.0095099999999;7233.5362;534.00224;1475.35741;2727.10161;4.0;VALOR
CARNE DESPOJOS;;183837.506;36593.092;5855.517199999999;3954.5027;21149.114700000002;5008.9661;23618.415999999997;20560.577400000002;9303.5826;2842.9993099999997;19239.248;10128.834700000001;5500.344700000001;2449.4311300000004;11561.032699999998;2064.9856600000003;2565.8173600000005;1441.06088;3.0;VALOR
DESPOJOS CERDO;;85289.43000000001;19910.7898;2928.65725;1704.2131599999998;8582.8323;3115.5618999999997;12145.0304;6563.191000000001;4973.2725;1391.8731630000002;9547.5286;5447.1044;2086.4345599999997;889.938289;3687.124;986.16904;1107.4998999999998;222.20774999999998;4.0;VALOR
DESPOJOS CORDERO;;12150.0689;1895.6188299999997;965.82341;380.144551;1439.48919;350.542425;757.9641699999999;2758.9737900000005;713.04911;109.003525;1283.33322;82.83179000000001;56.42994;120.08266;437.07947;470.482376;319.39061;9.829426;4.0;VALOR
DESPOJOS POLLO;;34352.906;6052.0239;1080.2020899999998;1046.38437;7743.0163;742.3189899999999;5522.1026999999995;3506.6284;2527.8739;676.218113;1656.6420099999998;1007.6689699999998;458.96715300000005;221.26988699999998;1028.4535099999998;222.701177;358.618345;501.81674599999997;4.0;VALOR
DESPOJOS TERNERA;;46370.349;7640.206000000001;748.9393810000001;533.8286039999999;2442.15779;671.10019;4654.1197;7164.9517000000005;1014.29878;632.689196;6246.790100000001;3230.49894;2693.038;919.2670599999999;6127.99114;322.2903769999999;678.6230480000002;649.5570700000001;4.0;VALOR
DESPOJOS OT.PROCED;;5674.7687000000005;1094.45042;131.895375;289.932033;941.6181079999999;129.44259;539.1990310000001;566.830975;75.08882700000001;33.215575;504.954698;360.729826;205.47511599999999;298.873011;280.385255;63.342747;101.68535;57.64993;4.0;VALOR
OTRAS CARNES FRESCA;;950894.4700000001;171361.13999999998;33486.176999999996;19171.350599999998;116501.614;26204.401;145222.81;125490.85799999998;39106.181;18747.156;51872.703;45747.218;19001.165;9782.8248;67298.29900000001;8014.2840000000015;22881.492;31004.837;3.0;VALOR
AVESTRUZ;;1495.9801899999998;404.864216;53.771634000000006;0.0;290.751117;0.0;271.81699000000003;189.80964;27.962753999999997;0.0;23.257007;89.1037;22.96898;30.276169999999997;91.39805999999999;0.0;0.0;0.0;4.0;VALOR
PAVO;;473410.94999999995;81168.03600000001;18374.570999999996;8644.4946;45513.044;12145.7099;67898.236;64762.448000000004;17458.997;8022.973099999999;25922.516;25412.127999999997;11472.746400000002;4903.673699999999;45548.628;4134.665299999999;13849.3761;18178.744;4.0;VALOR
OTRAS AVES;;81385.188;15831.745799999997;3179.4653999999996;1627.23852;11642.193899999998;2043.09293;14322.851999999999;10262.5228;3986.1536;1323.37751;4439.9435;3109.6639999999998;969.044665;407.34710600000005;4221.4283000000005;602.9240609999999;1779.2117199999998;1636.98107;2.0;VALOR
CARNE CABALLO;;23283.5269;5230.3184;77.89585;17.4885;8058.4324;285.31599;2005.32176;1244.41833;478.16948;284.03447400000005;772.9617300000001;234.53279000000003;271.637613;351.707293;1278.5611099999999;581.2534;2064.52889;46.94878;4.0;VALOR
CARNE CONGELADA;;276302.61;33126.049;6150.0551000000005;5973.488600000001;27769.553;8215.354599999999;48646.199;33800.163;15269.202899999998;4580.1999;12910.522300000002;10939.666000000001;2817.4539;3400.8742;8764.821;1493.0736100000001;2788.74755;49657.18800000001;2.0;VALOR
C.CONG.POLLO;;148069.91999999998;16350.3482;3183.5717;3261.0191399999994;15531.8936;4946.153600000001;25625.300000000003;16219.939;9075.2498;2665.3347;7312.1082000000015;4505.534299999999;1491.50195;1533.0005899999999;4423.5606;715.22591;857.8670999999998;30372.307999999997;3.0;VALOR
C.CONG.CERDO;;61115.240000000005;7142.6034;1304.09878;896.5533600000001;4942.7721;2155.92716;12732.616100000001;10579.654600000002;3463.06465;1001.0001090000001;2720.2002300000004;2267.2538200000004;685.78441;638.13894;988.3262399999999;386.332529;1226.327815;7984.5834;3.0;VALOR
C.CONG.VACA;;24852.029000000002;3019.77682;484.47627299999994;219.0664;1972.70873;275.48132799999996;3006.2593799999995;2834.00175;825.38093;138.57706;1311.38803;2202.50155;291.659893;655.42499;1185.4315000000001;170.595367;196.01986;6063.279990000001;3.0;VALOR
RESTO CARNES CONG.;;42265.424;6613.317499999999;1177.908232;1596.849774;5322.17893;837.79218;7282.0234;4166.5675;1905.5069599999997;775.28813;1566.826569;1964.3766799999999;348.50766;574.30954;2167.50256;220.91979;508.5329389999999;5237.014499999999;3.0;VALOR
C.CONG.CABALLO;;163.11559;50.73022;14.738040000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.65529;0.0;0.0;0.0;0.0;0.0;35.99201;0.0;4.0;VALOR
SALCHICHAS CONGELAD;;817.0781599999999;35.539030000000004;0.0;75.102529;80.25736;7.950747000000001;62.166312000000005;9.633396000000001;39.62059;0.0;68.917674;0.0;21.28109;0.0;0.0;0.0;0.0;416.60945000000004;3.0;VALOR
CARNE TRANSFORMADA;;5292920.1;943481.35;142761.32;106767.83200000001;559475.63;174482.67;924042.9400000001;758659.52;245681.02;113730.392;296403.25;263986.46;134305.055;48858.24100000001;275952.91000000003;40908.929;64143.357;199279.31999999998;2.0;VALOR
JAMON CURADO+PALETA;;1550939.01;287769.39;44010.241;34093.091;169543.65000000002;49661.291999999994;278806.57;221967.40999999997;67813.96;26455.299;70907.761;71114.53;43416.94500000001;12148.2999;78575.811;12256.764200000001;23866.891000000003;58531.118;3.0;VALOR
JAMON C.+P.ENTERO;;424347.13;79972.242;13678.205399999999;3826.5512900000003;39575.087;12529.3447;93118.45999999999;55651.99999999999;25484.251999999997;9649.504649999999;21827.213900000002;19807.8671;16559.2058;1626.2122180000001;12465.2453;3124.34606;8472.143399999999;6979.23168;4.0;VALOR
JAMON C.+P.LONCHA;;1126591.75;207797.12999999998;30332.034;30266.538999999997;129968.54699999999;37131.948000000004;185688.09999999998;166315.43;42329.707;16805.795;49080.54499999999;51306.66200000001;26857.735000000004;10522.089;66110.565;9132.4178;15394.7484;51551.886;4.0;VALOR
JAMON CURADO NORMAL;;919412.59;133470.30200000003;34204.561;20644.532000000003;123496.63599999998;37055.474;162257.62;110514.39199999999;48823.617;13929.663199999999;49489.81099999999;55847.863000000005;23448.611;6477.5725;38487.73299999999;7433.8204000000005;17736.5493;36093.924999999996;3.0;VALOR
