Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
.TOTAL ALIMENTACION;;99.973;81.958;9.082;79.261;99.79;99.451;86.13;20.939;9.474;16.756;4.973;26.19;53.022;21.67;25.652;1.716;48.762;8.146;59.365;12.487;13.183;61.731;27.495;0.0;VALOR
T.HUEVOS KGS;;97.173;25.961;1.443;38.102;91.903;87.093;48.117;0.447;0.789;1.285;0.0;0.024;9.011;3.565;5.759;1.247;4.061;0.394;11.552;6.252;5.29;11.173;7.104;1.0;VALOR
T.HUEVOS UNDS.;;97.173;25.961;1.443;38.102;91.903;87.093;48.117;0.447;0.789;1.285;0.0;0.024;9.011;3.565;5.759;1.247;4.061;0.394;11.552;6.252;5.29;11.173;7.104;1.0;VALOR
TOTAL HUEVOS GALLINA;;97.01;25.741;1.443;37.653;91.515;86.536;47.919;0.447;0.789;1.287;0.0;0.024;8.712;3.565;5.613;1.235;4.061;0.394;11.544;6.228;5.27;10.898;7.04;2.0;VALOR
OTRAS AVES;;16.654;1.199;0.0;3.173;12.931;11.898;1.665;0.0;0.0;0.16;0.0;0.0;0.696;0.048;0.523;0.037;0.0;0.0;0.249;0.54;0.19;0.834;0.394;2.0;VALOR
MIEL;;36.114;5.982;0.323;7.032;23.737;19.731;6.879;0.028;0.83;0.308;0.0;0.0;1.326;2.069;1.763;0.09;0.392;0.259;1.625;0.44;2.401;4.505;0.648;1.0;VALOR
GRANEL;;11.264;5.106;0.174;0.0;0.064;0.064;0.0;0.0;0.669;0.308;0.0;0.0;1.214;2.173;1.484;0.09;0.356;0.259;1.3;0.44;2.428;4.034;0.2;2.0;VALOR
ENVASADA;;29.146;1.208;0.138;7.032;23.688;19.68;6.879;0.028;0.152;0.0;0.0;0.0;0.11;0.103;0.281;0.0;0.056;0.0;0.364;0.0;0.073;1.004;0.519;2.0;VALOR
TOTAL CARNE;;99.855;59.301;2.699;62.533;99.112;97.897;73.294;5.017;0.977;2.164;0.091;0.777;52.152;3.64;11.792;0.141;1.716;1.003;4.033;3.126;3.361;26.762;13.065;1.0;VALOR
CARNE CERTIFICADA;;83.48;37.522;0.703;23.146;74.292;68.463;32.716;1.146;0.147;0.432;0.009;0.086;33.896;0.553;5.956;0.027;0.128;0.029;0.819;1.054;1.433;7.777;4.041;2.0;VALOR
CARNE FRESCA;;99.197;54.506;1.427;48.956;96.957;94.25;62.538;1.463;0.363;1.217;0.009;0.378;49.844;1.565;10.187;0.043;0.863;0.27;1.698;2.689;2.218;16.994;9.902;2.0;VALOR
SALCHICHAS FRESCAS;;36.399;16.017;0.082;4.415;23.016;20.28;3.682;0.021;0.008;0.0;0.0;0.0;14.158;0.085;2.302;0.0;0.037;0.018;0.08;0.11;0.042;1.285;0.988;3.0;VALOR
CARNE VACUNO;;91.551;40.518;0.622;28.277;80.542;73.18;32.495;0.18;0.082;0.471;0.0;0.194;37.625;0.391;5.73;0.012;0.22;0.057;0.535;0.4;0.605;7.256;4.878;3.0;VALOR
TERNERA;;87.493;38.253;0.572;23.226;73.779;65.007;28.207;0.182;0.081;0.409;0.0;0.194;35.486;0.252;5.167;0.012;0.198;0.057;0.521;0.407;0.564;4.919;3.933;4.0;VALOR
AÑOJO;;56.198;12.009;0.169;12.873;45.706;39.651;12.638;0.056;0.023;0.051;0.0;0.0;10.641;0.172;1.647;0.0;0.022;0.0;0.013;0.055;0.056;3.096;1.837;4.0;VALOR
MAYOR;;31.739;6.575;0.052;6.946;22.255;19.242;4.655;0.023;0.023;0.028;0.0;0.0;5.844;0.005;0.89;0.0;0.0;0.0;0.065;0.025;0.085;1.189;0.644;4.0;VALOR
CARNE POLLO;;97.93;41.818;0.75;33.762;93.399;88.585;52.75;0.822;0.213;0.731;0.0;0.319;37.758;0.465;6.217;0.012;0.433;0.16;0.848;1.739;0.754;9.131;6.856;3.0;VALOR
POLLO ENTERO;;64.163;18.995;0.194;9.38;51.435;44.375;16.105;0.133;0.047;0.333;0.0;0.012;16.846;0.174;2.503;0.0;0.12;0.047;0.097;1.485;0.522;2.434;1.871;4.0;VALOR
POLLO FILETES;;81.222;22.272;0.181;13.232;72.529;63.721;29.766;0.106;0.016;0.115;0.0;0.05;19.871;0.217;2.604;0.0;0.097;0.02;0.129;0.061;0.147;2.088;2.854;4.0;VALOR
POLLO POR PIEZAS;;96.183;37.675;0.663;29.897;90.498;84.817;48.113;0.689;0.188;0.488;0.0;0.286;33.797;0.242;5.169;0.012;0.217;0.115;0.739;0.588;0.407;7.378;5.784;4.0;VALOR
CARNE CONEJO;;44.864;10.958;0.176;5.685;35.056;30.559;8.35;0.014;0.069;0.061;0.0;0.0;9.364;0.067;1.919;0.0;0.073;0.0;0.049;1.124;0.472;0.815;1.076;3.0;VALOR
