Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
.TOTAL ALIMENTACION;;3.0394467848433036;3.2021092635762947;3.1448301189303955;2.850947869089485;2.90095665489791;2.946239759465217;2.859296302798662;3.27419589291534;2.8018375376953624;2.6501920690133183;3.00659969385201;3.075037099452909;3.187992788714625;2.996694683742104;3.5859712796870746;3.1997833860534253;3.3153642525313876;2.6515676878633814;0.0;VALOR
T.HUEVOS KGS;;3.227215398240645;3.349743596880389;3.004419461953085;3.2378145964965284;3.1108744007485485;3.16329291609571;3.17786602717551;3.1543352332425414;3.060664687546257;3.1333630701109474;3.14559404254344;3.5651078991694236;3.3804327327468373;3.115605493645824;3.2342653058890916;3.0028551543613373;3.2162361766792933;3.555911212402299;1.0;VALOR
T.HUEVOS UNDS.;;0.20262746060028877;0.20906083010228657;0.1849562425175056;0.20312416051533577;0.1959100796033937;0.19804258954798767;0.19862099903400518;0.19900485096097728;0.1929595224366598;0.19905205049936;0.1972180978372331;0.22454860907254062;0.21451481302915126;0.19906093881384926;0.20184274664570462;0.18855972502023047;0.2042475311355072;0.22623235053595908;1.0;VALOR
TOTAL HUEVOS GALLINA;;0.20487637851924634;0.212586424678158;0.18929778248642262;0.20503925549923044;0.19750537354341977;0.20089747273437084;0.2014119089599193;0.20069530666785804;0.1947994654567754;0.19964549056928887;0.19893735655629396;0.22594965006874534;0.2157252823679598;0.19920615774447792;0.20466878535757402;0.19023806657198206;0.2051101472650498;0.2271427318425462;2.0;VALOR
OTRAS AVES;;0.10475231924351928;0.09277429103689214;0.09315969734421589;0.12329092324980381;0.11338769857641345;0.0902696283278578;0.10084690861006725;0.10045794044484392;0.09076374910772717;0.13194594845574928;0.12770747985794173;0.15140557460737913;0.09517024104201392;0.12688200142998995;0.10883455992074578;0.11512083424146002;0.11097980404653589;0.0972653384975013;2.0;VALOR
MIEL;;7.517896419250013;7.801469569541738;7.9320014948072854;7.28176197050381;6.981942017261781;7.267315040610068;6.87564899056069;7.116611381166314;6.6343142828994575;7.607403192539307;7.3129622236138125;8.382872059699135;9.102794867400334;9.226649566275535;8.656737510234965;7.161003135430319;9.106930816928912;8.413549481758722;1.0;VALOR
GRANEL;;9.354691165497528;10.000657654214862;10.150576608418154;9.131195572653974;8.594324638559993;8.011958695386305;8.696370896744881;9.16965539785399;8.229976260653972;9.282260042184294;8.309169257520848;9.775740137756241;9.77589302940868;9.723861856760339;9.717958315857704;8.039959184456741;11.976111546121746;12.646307038680268;2.0;VALOR
ENVASADA;;6.664075485163577;6.880020117349298;6.633655970199123;7.00337843632004;6.228814552771802;6.941441716055592;6.140797930510612;6.588037953940192;5.807980220327032;6.173413617938316;6.561183186777387;7.282909539564986;7.477189157848684;9.100625071859302;7.806897981798154;6.900500790450365;7.972033713757754;6.927801025244434;2.0;VALOR
TOTAL CARNE;;8.351875035730078;8.963316978277597;8.410746546593264;8.368652055742492;8.013453186499559;8.122459479608986;7.863620620432611;8.561237148172605;7.8531772036846395;7.639673660242019;8.272963772613052;8.008180062717114;8.720269479597583;8.307284784234945;9.282313522318447;8.673638450329173;8.879577565973115;8.242136570069222;1.0;VALOR
CARNE CERTIFICADA;;9.863038180249642;10.647216480774944;10.734591986597946;9.895028087121194;9.414085523955217;9.652532811613556;8.984559476852157;10.192980251495513;9.087439902455491;8.64844370873632;10.03666361432466;9.230145317357119;10.016958584758884;10.404164398987204;11.739680151371983;9.743713036225236;11.318219427319278;8.923006663225188;2.0;VALOR
