Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
.TOTAL ALIMENTACION;;74241089.3138;11584293.505768;255071.011652;9751452.856580002;46416397.4493;37306011.0416;9110386.716664;480626.32448899996;85741.85364900001;45176.886467000004;520365.005171;1297057.682378;2971554.2298009996;664057.573539;1710618.8492989996;23362.058311999997;1209455.719004;123598.762047;3105969.908273;1119533.116141;301804.853009;1996335.719971;1631777.455975;0.0;VALOR
T.HUEVOS KGS;;1115298.7208;111742.83453999998;4505.238686999999;110762.24609000002;707043.3893;569142.8903999999;137900.52839000002;1260.8266899999999;1116.398265;0.0;6308.8571139999995;106.83711600000001;22518.95446;8286.39629;22890.013321000006;7749.9272;5937.798199999999;1705.48261;36611.458377999996;84669.48406999999;34426.043320000004;29116.986021;18437.232154999994;1.0;VALOR
T.HUEVOS UNDS.;;1115298.7208;111742.83453999998;4505.238686999999;110762.24609000002;707043.3893;569142.8903999999;137900.52839000002;1260.8266899999999;1116.398265;0.0;6308.8571139999995;106.83711600000001;22518.95446;8286.39629;22890.013321000006;7749.9272;5937.798199999999;1705.48261;36611.458377999996;84669.48406999999;34426.043320000004;29116.986021;18437.232154999994;1.0;VALOR
TOTAL HUEVOS GALLINA;;1101804.05;110292.411;4492.889799999999;109155.446;698089.5;560761.85;137327.68;1180.3858;976.8529889999999;0.0;6290.9673999999995;106.83711600000001;22218.097999999998;8228.915;22193.302999999996;7749.9272;5937.798199999999;1705.48261;36485.547;83829.158;34285.981;28823.354;18315.414999999997;2.0;VALOR
OTRAS AVES;;13494.670800000002;1450.42354;12.348886999999998;1606.80009;8953.889299999999;8381.0404;572.84839;80.44089;139.545276;0.0;17.889713999999998;0.0;300.85645999999997;57.48129;696.710321;0.0;0.0;0.0;125.911378;840.32607;140.06232;293.632021;121.817155;2.0;VALOR
MIEL;;108083.33499999999;16687.7019;617.06096;11292.3094;47367.739;38280.492999999995;9087.2437;37.136540000000004;1243.6950419999998;49.58278;1334.4223430000002;26.84215;1529.1634000000001;3229.46868;4732.29047;51.829691999999994;571.265444;16.57519;5390.1705;2849.56189;12358.744399999998;9481.0404;2865.29497;1.0;VALOR
GRANEL;;44072.959;15007.303;395.808291;0.0;55.05436;55.05436;0.0;0.0;850.3879999999999;49.58278;1316.683737;26.84215;1520.7748000000001;3114.2584699999998;4453.4445000000005;44.525800000000004;425.70696;0.0;5116.6842;2849.56189;12227.0743;7972.4657;1134.74922;2.0;VALOR
ENVASADA;;64010.384;1680.39903;221.25266700000003;11292.3094;47312.685;38225.437999999995;9087.2437;37.136540000000004;393.30692999999997;0.0;17.738606;0.0;8.388620999999999;115.21023000000001;278.84593;7.303894;145.558434;16.57519;273.48615600000005;0.0;131.67022;1508.5744099999997;1730.5457000000001;2.0;VALOR
TOTAL CARNE;;14131176.0;3317484.0;31801.924000000003;1488354.3000000003;8510417.7;6933182.1;1577235.5;35696.345;3067.6971000000003;537.069082;24267.247;2664.672066;2733296.3;24164.079;425301.86;646.9104799999999;7532.0307;5300.8497099999995;15842.6518;140054.19;75356.119;304930.86;214344.18;1.0;VALOR
CARNE CERTIFICADA;;2595144.7999999993;972497.6499999999;6188.8229;239288.63999999998;1207215.86;1014420.1999999998;192795.63999999998;7802.945299999999;948.2121420000001;0.0;7334.7405;806.3633460000001;825378.0599999999;5187.93206;121045.92599999999;0.0;1172.39078;234.09596000000002;1370.63095;55138.5903;22081.8358;52745.583000000006;27465.141999999996;2.0;VALOR
CARNE FRESCA;;9075551.7;2609767.9;18383.048300000002;832219.57;5132303.8;4139810.5;992493.3699999999;4324.89149;1795.0400399999999;0.0;17266.175900000002;2102.772926;2223176.6999999997;10673.324799999999;320261.27;405.48022000000003;3778.4568099999997;2309.58105;5729.7629;132059.122;39770.473;160998.18300000002;122109.87700000001;2.0;VALOR
SALCHICHAS FRESCAS;;109777.23700000001;57313.191999999995;280.88329;6685.7654999999995;41185.884;38718.99100000001;2466.8932999999997;0.0;0.0;0.0;35.104222;37.965120000000006;50222.166000000005;398.58083;5869.455400000001;0.0;66.21699000000001;67.79822999999999;199.387939;29.018876000000002;259.48514;2383.1116700000002;1206.21591;3.0;VALOR
CARNE VACUNO;;1987561.2;754886.55;3418.44902;204249.62000000002;930988.4700000001;782126.3799999999;148862.13;1304.205366;781.00269;0.0;4764.763199999999;637.736016;656743.27;3768.1642;86817.78;8.597956;1129.19762;776.8946300000001;1130.3377200000002;15633.02618;6353.348499999999;38408.08;25090.785000000003;3.0;VALOR
TERNERA;;1435404.0599999998;639424.6200000001;2898.88144;116484.06599999999;610529.17;510451.99;100077.201;359.231586;614.4895900000001;0.0;1700.4759299999998;637.736016;559163.6500000001;3337.9325399999993;70940.189;8.597956;943.74469;647.4129899999999;974.769405;15471.987970000002;4773.9739;23652.744;17130.4147;4.0;VALOR
AÑOJO;;435493.29999999993;84584.06000000001;453.9796;66707.76;262628.73;222645.99;39982.753000000004;943.35322;98.31518000000001;0.0;2505.40093;0.0;70881.14199999999;430.231609;11941.1056;0.0;185.45296000000002;89.84709;155.56832;73.54987;1418.8847700000001;10697.0498;5993.639400000001;4.0;VALOR
MAYOR;;116663.71399999999;30877.879;65.587994;21057.8017;57830.564000000006;49028.387;8802.176;1.620616;68.19789;0.0;558.8862799999999;0.0;26698.428999999996;0.0;3936.4845300000006;0.0;0.0;39.63454;0.0;87.488301;160.48980999999998;4058.28632;1966.7282599999999;4.0;VALOR
CARNE POLLO;;2609081.6;579466.52;4881.579600000001;219952.58000000002;1674680.9;1306437.6;368243.31000000006;1167.836383;450.79811200000006;0.0;3614.0848300000002;431.60795999999993;494021.98;1421.92999;65453.799000000006;285.461972;800.7533299999999;569.8500829999999;1223.94668;36677.334;8280.1339;41680.53;38425.892;3.0;VALOR
POLLO ENTERO;;449418.68;113706.087;827.80615;38440.996;237889.78999999998;196138.64;41751.16299999999;305.50286;191.60916;0.0;799.675;191.72305;94064.668;105.5188;12843.9941;0.0;288.123147;37.61041;139.96009;36248.380000000005;6793.36102;8937.3855;5669.6810000000005;4.0;VALOR
POLLO FILETES;;514612.1499999999;108638.239;722.0673499999999;34930.246;356559.36;278304.35;78255.015;20.174421;31.397052000000002;0.0;423.66591000000005;76.41973999999999;95040.531;96.48956;11173.4923;0.0;74.056616;44.91706;244.09251200000003;130.7309;219.18943;6708.716;6183.465899999999;4.0;VALOR
POLLO POR PIEZAS;;1645050.7000000004;357122.19;3331.7062999999994;146581.35;1080231.8599999999;831994.72;248237.13;842.159116;227.791902;0.0;2390.74419;163.46515000000002;304916.80000000005;1219.9216999999999;41436.315;285.461972;438.573481;487.32257300000003;839.89401;298.224069;1267.5832599999999;26034.427000000003;26572.746;4.0;VALOR
CARNE CONEJO;;224113.05999999997;54764.573000000004;806.0314860000001;21216.084000000003;122288.84099999999;104328.29799999998;17960.542999999998;0.0;9.169906999999998;0.0;731.5170099999998;155.46786;39504.71799999999;269.64419;12617.328500000001;0.0;547.34381;0.0;225.156826;15269.2478;2671.89637;2831.0592999999994;3264.1798100000005;3.0;VALOR
CARNE OVINO/CAPRINO;;548724.18;225371.5;958.21531;50419.26;222453.29;208187.23;14266.058600000002;0.0;245.26784000000004;0.0;1723.23585;356.87805;187362.46999999997;1248.24146;34802.7764;0.0;126.207752;83.59971;443.133662;15982.170500000002;12329.023500000001;12412.8959;5826.3778999999995;3.0;VALOR
CORDERO;;482380.16000000003;195976.31;958.21531;44884.715;202103.75;189448.58500000002;12655.150499999998;0.0;245.26784000000004;0.0;1187.89698;356.87805;163337.35;1236.62756;29490.101899999998;0.0;85.62723199999999;83.59971;439.78222400000004;9922.549400000002;9114.8281;11254.6254;5740.6667;4.0;VALOR
CABRITO;;54700.366;20798.1621;0.0;5069.9337000000005;17785.177600000003;16734.8965;1050.281325;0.0;0.0;0.0;535.3388;0.0;16854.5608;11.61391;3903.02161;0.0;40.58051999999999;0.0;0.0;6059.62112;3196.53491;1158.27106;85.71117000000001;4.0;VALOR
OTRO OVINO/CAPRINO;;11643.6753;8597.0299;0.0;464.612834;2564.37328;2003.74679;560.626425;0.0;0.0;0.0;0.0;0.0;7170.560999999998;0.0;1409.6529800000003;0.0;0.0;0.0;3.351438;0.0;17.65979;0.0;0.0;4.0;VALOR
OVINO/CAPRINO ENTE;;125009.13900000001;42029.688;135.99385;6893.91898;42360.5045;39628.5211;2731.9811;0.0;245.26784000000004;0.0;673.90766;0.0;37054.22900000001;0.0;4370.51828;0.0;0.0;0.0;0.0;14651.87766;11689.137700000001;5790.8153999999995;783.3015800000001;4.0;VALOR
OVINO/CAPRINO PIEZ;;423715.06;183341.82;822.2215000000001;43525.341;180092.8;168558.72;11534.0771;0.0;0.0;0.0;1049.3281900000002;356.87805;150308.249;1248.24146;30432.257400000002;0.0;126.207752;83.59971;443.133662;1330.2929800000002;639.886;6622.081319999999;5043.07626;4.0;VALOR
