Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
PLAT.PREP.OTROS;;89.561;91.395;91.219;88.758;89.045;89.639;91.038;93.686;86.413;86.466;87.165;84.335;87.449;79.026;85.614;81.296;75.386;91.83;2.0;VALOR
CAFES E INFUSIONES;;96.472;95.897;96.456;97.327;96.067;96.164;96.147;96.869;95.292;96.786;96.675;97.491;98.007;96.978;96.426;95.926;98.485;97.231;1.0;VALOR
CAFE G. O M.TORREFAC;;2.838;0.917;3.468;1.05;0.629;0.261;1.755;2.878;3.121;32.478;6.634;3.258;3.041;1.076;1.915;0.0;0.842;4.18;2.0;VALOR
CAFE G. O M.NATURAL;;63.036;71.087;67.965;60.686;70.01;63.263;56.982;58.833;56.504;49.894;51.475;64.131;72.59;59.357;67.792;61.25;55.136;69.089;2.0;VALOR
CAFE G. O M.MEZCLA;;32.652;27.545;29.395;28.904;28.06;23.305;29.716;40.376;41.166;37.632;38.06;36.246;35.877;32.242;24.588;34.535;37.504;43.946;2.0;VALOR
CAFE G. O M.DESCA;;33.823;37.614;40.069;51.709;34.592;35.222;37.773;32.088;31.035;28.501;30.025;32.023;27.991;17.999;28.226;29.703;33.495;20.719;2.0;VALOR
CAFE SOLUBLE;;55.932;52.149;65.36;46.39;61.644;64.822;55.86;50.986;60.924;53.102;57.53;60.074;49.934;62.026;55.227;52.323;53.999;57.221;2.0;VALOR
DESCAFEINADO CS;;29.966;24.535;34.538;24.194;32.238;42.014;31.932;24.488;32.928;35.541;31.049;37.78;33.568;31.681;30.905;26.06;27.275;26.441;3.0;VALOR
NO DESCAFEINADO CS;;42.428;42.829;52.161;33.304;48.894;50.758;39.503;38.998;47.627;31.525;44.58;42.839;30.337;46.458;41.769;40.358;37.695;45.873;3.0;VALOR
SUCEDANEOS DE CAFE;;11.656;11.472;11.819;8.58;11.86;14.303;8.031;9.583;10.962;10.175;16.385;13.979;16.481;11.487;22.632;22.602;13.054;7.792;2.0;VALOR
CAFE EN CAPSULAS;;46.249;59.751;53.089;51.604;53.648;55.034;42.937;42.212;43.162;37.423;38.439;32.22;36.983;28.642;45.059;30.035;48.192;38.969;2.0;VALOR
DESCAFEINADO CPS;;22.424;30.208;29.013;37.581;25.974;29.046;21.729;19.32;18.086;14.275;17.628;15.165;16.643;11.618;17.982;16.788;25.972;15.852;3.0;VALOR
NO DESCAFEINADO CPS;;42.325;54.989;48.224;43.364;50.673;51.825;37.347;38.985;39.547;33.516;35.04;29.136;35.698;27.893;42.024;29.252;43.625;36.758;3.0;VALOR
INFUSIONES;;68.569;66.25;64.79;68.68;69.158;68.622;72.355;69.649;62.256;65.554;66.229;75.199;68.729;76.948;60.192;74.704;61.57;69.846;2.0;VALOR
INFUSIONES ENVASADO;;67.9;64.898;64.57;68.144;69.1;68.323;71.512;68.934;61.458;65.037;65.231;74.891;68.711;76.827;60.162;73.308;60.915;69.201;3.0;VALOR
INFUSIONES GRANEL;;3.398;4.177;5.065;9.499;1.807;1.257;4.778;4.11;2.348;5.87;3.275;3.622;2.346;1.393;2.436;3.087;8.638;2.065;3.0;VALOR
TE;;37.746;36.606;31.524;47.223;37.308;34.645;41.969;40.806;31.397;28.389;34.371;39.91;29.437;44.44;30.609;43.369;33.315;42.69;3.0;VALOR
MANZANILLA;;30.815;26.34;29.225;24.858;31.98;35.707;33.328;32.874;24.322;31.599;32.645;36.332;32.359;40.651;23.487;30.944;25.609;31.732;3.0;VALOR
POLEO;;14.194;13.333;12.617;13.455;17.292;12.166;16.811;15.907;13.699;13.575;13.361;12.444;10.604;10.862;7.59;10.502;6.276;15.896;3.0;VALOR
OTRAS INFUSIONES;;50.607;50.636;49.348;52.691;53.675;53.786;51.154;49.661;44.409;47.584;45.846;55.668;56.299;60.399;44.378;49.382;40.312;52.983;3.0;VALOR
CALDOS;;60.705;59.037;65.474;68.603;60.513;63.595;62.036;59.768;74.023;68.045;60.343;54.948;63.15;52.377;60.618;62.487;55.446;50.052;1.0;VALOR
AYUDAS CULINARIAS;;8.701;6.362;8.211;12.648;10.208;14.682;9.769;7.55;11.318;7.432;8.604;9.701;4.996;15.004;4.889;3.99;1.903;12.087;2.0;VALOR
SALSAS;;96.13;95.031;96.118;97.407;96.874;97.438;96.854;97.07;97.928;98.201;96.118;92.967;95.739;95.474;93.945;95.921;94.11;95.585;1.0;VALOR
KETCHUP;;55.557;48.417;57.011;58.705;54.67;53.068;58.976;60.647;64.386;56.613;59.426;50.157;55.804;51.505;50.317;41.351;35.404;62.891;2.0;VALOR
MAYONESA;;81.769;72.024;81.468;76.524;82.671;89.631;84.074;81.681;85.872;91.329;85.126;81.146;86.92;80.077;84.346;87.438;83.709;84.689;2.0;VALOR
MAYONESA LIGHT;;30.219;27.103;34.009;26.402;29.013;27.426;26.275;34.785;35.048;42.98;31.611;36.322;39.904;37.053;27.22;19.87;33.076;24.487;3.0;VALOR
MOSTAZA;;35.279;38.968;31.727;39.079;31.712;36.539;35.367;44.172;34.336;28.923;34.997;28.259;27.532;32.149;22.012;29.901;25.524;42.208;2.0;VALOR
OTRAS SALSAS;;85.002;87.376;85.503;88.684;87.164;90.031;87.167;88.203;85.533;85.356;78.172;72.404;82.972;83.101;77.189;79.818;80.621;83.147;2.0;VALOR
AGUA DE BEBIDA ENVAS.;;84.374;90.414;83.622;89.619;90.81;87.613;85.733;74.614;89.23;84.933;84.03;84.431;77.159;77.353;65.901;86.072;77.759;91.657;1.0;VALOR
