Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
.TOTAL ALIMENTACION;;26870450.782250002;3139174.0248990003;98505.07288399998;3501765.8983479994;17708442.017479997;13968267.427290002;3740175.1814249996;56658.31226499999;15528.557720999997;120432.577458;2456.255902;114327.944437;335754.07374400005;386915.54289300006;430582.417214;7998.056221000001;394624.359874;46876.304148999996;1576880.1814840003;505541.85355400003;104062.31271299999;714576.9017800001;591034.3761720001;0.0;VALOR
T.HUEVOS KGS;;407791.05306;31942.812505;1643.992192;44669.73718800001;273846.17507999996;218503.93703000003;55342.236038;280.053165;458.04726999999997;1325.3292470000001;0.0;19.284835;6855.080314;3160.8471339999996;7559.091681;1800.206692;1806.275072;423.10064400000005;9414.922567;26216.893750999996;9593.352251;9713.710189;5678.219346;1.0;VALOR
T.HUEVOS UNDS.;;6494823.366;508483.57449999993;25687.378;714613.9968000001;4365749.147999999;3495416.2430000002;870332.8657700001;4375.8307;7156.9886;21026.51949;0.0;301.32555;109133.88511;49477.69;123108.61833000001;28301.496950000004;28223.048;6610.947570000001;147685.50662;414453.52307999996;150265.16989999998;154882.29247;90184.33684999999;1.0;VALOR
TOTAL HUEVOS GALLINA;;6348941.1;497369.94;25687.378;694881.4300000002;4262753.4;3399069.9;863683.4700000001;4375.8307;7156.9886;20649.3343;0.0;301.32555;106735.95300000001;49371.671;117185.287;28096.143000000007;28223.048;6610.947570000001;147001.25000000003;408747.3800000001;149827.78799999997;151201.616;88451.407;2.0;VALOR
OTRAS AVES;;145882.266;11113.6345;0.0;19732.5668;102995.74799999999;96346.343;6649.395769999999;0.0;0.0;377.18519;0.0;0.0;2397.93211;106.019;5923.331329999999;205.35395;0.0;0.0;684.2566200000001;5706.14308;437.3819;3680.6764700000003;1732.92985;2.0;VALOR
MIEL;;16124.0076;2096.5951;77.97375499999998;1945.8014300000002;8176.4181;6394.282300000001;1782.1360400000003;5.153247;307.03011699999996;49.42237099999999;0.0;0.0;200.699962;574.563629;481.90373999999997;8.824065000000001;83.36176800000001;42.173942000000004;670.18768;608.100557;1114.6915020000001;1285.2327799999998;195.207747;1.0;VALOR
GRANEL;;5116.674099999999;1744.9523000000004;59.149694;0.0;22.355377999999998;22.355377999999998;0.0;0.0;281.479054;49.42237099999999;0.0;0.0;183.78104500000003;549.957069;394.75619700000004;8.824065000000001;67.055561;42.173942000000004;543.8125399999999;608.100557;1075.467202;970.7178100000002;36.55178599999999;2.0;VALOR
ENVASADA;;11007.333900000001;351.64286000000004;18.824061;1945.8014300000002;8154.063;6371.9269;1782.1360400000003;5.153247;25.551067000000003;0.0;0.0;0.0;16.918916;24.606604;87.147533;0.0;16.306207;0.0;126.375139;0.0;39.22419;314.514903;158.65595199999996;2.0;VALOR
TOTAL CARNE;;1906656.9999999995;358171.23;3773.8031;201311.26000000004;1245728.4799999997;1000409.2599999999;245319.39;6561.6684;445.50181000000003;1453.3791400000002;9.733147;244.94783500000003;296057.25;2405.2949;42821.973999999995;101.36187699999999;610.6247000000001;262.95238300000005;1667.86834;21484.853900000002;7451.309700000001;36106.295;28770.831;1.0;VALOR
CARNE CERTIFICADA;;283970.38000000006;87149.127;789.22208;27650.362999999998;149352.90999999997;123514.05400000002;25838.848;784.1892500000001;67.261752;244.609671;1.495444;52.731429;74529.85699999999;410.3534869999999;10275.3899;18.758546;21.635975000000002;16.926575;261.246413;6298.27439;1982.31842;7021.954399999999;3071.2733000000007;2.0;VALOR
CARNE FRESCA;;1377818.43;305664.88;2566.3061000000002;131986.821;865374.7300000001;695157.24;170217.49;778.9166299999999;213.909663;840.21302;1.495444;166.53637500000002;261017.88999999998;1025.0200200000002;37009.67800000001;40.876673999999994;286.75085900000005;115.72051400000001;996.39958;20811.9549;5158.5712;24141.052999999996;20248.845999999998;2.0;VALOR
SALCHICHAS FRESCAS;;13952.713099999999;6275.194600000001;46.060901;890.1725499999999;6168.185199999998;5650.733799999999;517.4514300000001;3.3632890000000004;1.805431;0.0;0.0;0.0;5387.001700000001;58.924034;752.81177;0.0;3.928649;0.8665510000000001;6.798165999999999;18.127043;30.977469;279.369831;185.70174799999998;3.0;VALOR
CARNE VACUNO;;180115.71000000002;64280.901;407.27329299999997;20192.947;86019.16900000001;71779.45;14239.717999999997;146.496994;30.992258;77.727927;0.0;49.977591000000004;55981.495;345.53906700000005;7208.539999999998;11.93591;28.459851999999998;11.551262000000001;207.895717;1216.226125;398.242503;4526.8838;2650.8222;3.0;VALOR
TERNERA;;132115.258;54440.54200000001;354.99240299999997;11341.0651;59535.264;48801.648;10733.6133;68.933496;19.933554;67.470479;0.0;49.977591000000004;47744.912000000004;320.7279489999999;5742.5142000000005;11.93591;23.401245;11.551262000000001;197.77611199999998;1134.8621699999999;318.400889;2617.3119999999994;1984.6214599999998;4.0;VALOR
