Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
.TOTAL ALIMENTACION;;26870450.782250002;4557736.146608;745795.7959070001;675735.6123910001;3013979.3932980006;857507.5012020001;4739588.178296001;3342674.8996819993;1229395.9716319998;631083.693075;1500181.0521839997;1640586.8827759996;613062.5227330001;296671.421277;1252587.4231599998;178662.016052;346022.8685150001;1249179.830464;0.0;VALOR
T.HUEVOS KGS;;407791.05306;63560.778920000004;11888.710562000002;7673.152758;47655.402296;11310.679227;71195.53026;55530.32141100001;17546.809092;7621.493815;23289.282094000002;24085.364687;9751.378214;6364.541785999999;23491.679303999998;2914.8795290000007;6321.093125999999;17589.966757000002;1.0;VALOR
T.HUEVOS UNDS.;;6494823.366;1018422.7819999999;193119.58819999997;122310.63965000003;756724.5716;180663.11674;1139103.408;880185.8271;278322.09724000003;119973.17887000002;371459.9613999999;382397.9327;153667.14138999998;99614.72838999999;376423.35240000003;46420.09855;99536.71545;276478.40757000004;1.0;VALOR
TOTAL HUEVOS GALLINA;;6348941.1;988454.6499999999;184398.41999999998;119445.30300000001;742373.27;176000.88999999998;1107490.67;865341.9099999999;273399.78;118921.51899999997;362494.11999999994;375210.84;152124.2;99414.713;365323.07;45382.93599999999;98624.55499999998;274540.42;2.0;VALOR
OTRAS AVES;;145882.266;29968.131999999998;8721.1682;2865.33665;14351.301599999999;4662.226739999999;31612.738000000005;14843.917099999999;4922.317239999999;1051.65987;8965.8414;7187.0927;1542.94139;200.01539;11100.2824;1037.16255;912.1604499999999;1937.98757;2.0;VALOR
MIEL;;16124.0076;2781.8214000000003;402.855944;446.10236000000003;1951.07895;512.4234299999999;2756.8968;2149.9308;611.35423;272.305872;839.15147;940.7774499999999;451.51637600000004;111.41889400000001;703.0922899999999;126.95801199999997;309.61276599999997;756.7102699999998;1.0;VALOR
GRANEL;;5116.674099999999;821.4043;148.722768;58.363814000000005;621.1812299999999;155.985577;792.74074;440.18707300000005;208.581146;125.604098;360.90414000000004;415.118466;319.305106;22.529919;312.661585;29.025217;87.75519800000001;196.603887;2.0;VALOR
ENVASADA;;11007.333900000001;1960.41732;254.133182;387.73855000000003;1329.89758;356.43787000000003;1964.1560000000002;1709.74396;402.77308999999997;146.701766;478.24739999999997;525.65898;132.211252;88.88897999999999;390.43071999999995;97.93277799999998;221.857559;560.1064299999999;2.0;VALOR
TOTAL CARNE;;1906656.9999999995;309873.6;59947.109000000004;42131.808999999994;213733.74999999997;60147.61799999999;319185.35000000003;257238.71000000002;96693.486;39782.465;122466.71300000002;114784.939;41839.159999999996;18847.051000000003;100454.75600000001;15161.877999999999;27484.339000000004;66884.172;1.0;VALOR
CARNE CERTIFICADA;;283970.38000000006;43404.657999999996;8540.3028;6400.940799999999;28221.286;7526.748100000001;42037.371;37830.814000000006;14779.222800000001;5290.8059;21683.896;25251.285;7281.0321;3304.9571;15323.311000000002;1704.20061;4227.696;11161.862;2.0;VALOR
