Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
.TOTAL ALIMENTACION;;26878173.571560003;6630935.156544001;3959581.053982;6710627.204473;3917964.3391550006;5659065.678813;20495606.904429995;2573248.266593;3809317.7415010002;13593074.20489;13285099.39048;1524883.0344800001;7818383.427976;9315561.078370001;8219345.741914;17534907.076859996;4855749.450464999;7671270.168547;6346783.100520001;8004370.678376;5925734.562401;3814372.1874249997;4776472.725007;5210715.291243001;1532730.207585;2307604.923991;2071671.5761230004;1238872.0245400001;1732361.934964;4106644.9026290006;10852239.809329998;6237901.158253001;3949025.56175;660459.4276749999;1360789.7806550001;2573825.807113;4578768.01141;3371006.2806800003;2162171.4718600004;3881221.8025429994;1600459.705255;6689471.336667;0.0;VALOR
T.HUEVOS KGS;;374391.5992;89657.01543;52709.84643;92688.23030000001;56459.24507099999;82877.2555;291252.30642;32502.665690000005;50636.609814;180908.30082;193483.29833;23324.671539000003;98949.82564000001;129329.44893999999;122787.65692;252117.09301000004;68917.575184;108595.06117999999;84434.24276;112444.70528;76778.06849;53340.655729;64839.49967999999;73719.63590000001;20956.348345000002;31359.092646999998;37497.738176000006;15900.546099;23771.048031;56687.74769;149722.89894;86905.14174;57304.74927099999;9330.276889;17684.672555;32514.696410000004;61728.107809999994;49054.18665;29917.267175;51864.700639999995;20887.821314999997;101409.85562;1.0;VALOR
T.HUEVOS UNDS.;;5973626.680000001;1430964.363;842282.8589999999;1480302.5899999999;900269.8311000001;1319806.93;4644726.462;518893.86499999993;810006.0833999999;2889901.9020000002;3083724.773;369810.90989999997;1582936.444;2063716.354;1957163.032;4020879.181;1096728.7804;1735970.138;1345508.7559999998;1795418.7679999997;1234151.4409999999;849233.4349;1037542.4759999999;1172066.288;333389.8705;497130.1447;598741.9496;251370.84995000003;379790.38709999993;906897.1969999999;2387988.9539999994;1382955.534;915994.3891;148533.3469;280202.3075;519081.84500000003;987563.435;782331.6630000001;475818.44149999996;829993.7659999998;333232.08746;1616869.562;1.0;VALOR
TOTAL HUEVOS GALLINA;;5826950.600000001;1395321.6999999997;820129.96;1442318.6;878824.94;1290355.2999999998;4533426.7;505809.76;787713.87;2814986.6999999997;3011963.9;363454.86;1539267.8;2012820.1;1911407.9000000001;3924227.8;1073153.47;1689543.7;1314428.8;1749824.4;1193269.52;830524.47;1008593.9800000002;1148129.1300000001;326341.66;488662.80000000005;583524.42;247904.40000000002;369873.04000000004;881829.18;2330426.1;1353251.5999999999;891570.47;145276.73;275604.62000000005;505997.74;960230.9899999999;763534.63;465908.94;806754.8700000001;325101.86000000004;1578540.0;2.0;VALOR
OTRAS AVES;;146676.08000000002;35642.663;22152.899;37983.990000000005;21444.8911;29451.629999999997;111299.76199999999;13084.105000000001;22292.213399999997;74915.202;71760.873;6356.0499;43668.644;50896.254;45755.132;96651.38100000001;23575.310400000002;46426.43800000001;31079.956000000002;45594.367999999995;40881.921;18708.9649;28948.496000000003;23937.158000000003;7048.210499999999;8467.3447;15217.529600000002;3466.4499499999997;9917.347099999999;25068.017000000003;57562.85399999999;29703.934;24423.919100000003;3256.6169;4597.6875;13084.105000000001;27332.445;18797.033000000003;9909.5015;23238.896;8130.22746;38329.562000000005;2.0;VALOR
MIEL;;15086.941200000001;3129.5804;2040.97341;3741.0028;2273.5939;3901.7897000000007;12398.8689;861.24269;1826.8292700000002;6605.1159;8481.8237;728.7807;3331.8859;5122.6058;5903.667600000001;11026.2735;3853.7180000000003;4560.250599999999;2933.2309;3739.7405000000003;3346.9734000000003;2265.4854000000005;2405.98509;3137.2411;876.7854000000002;1180.7583300000001;1217.44065;656.27076;986.61058;2350.89;5861.995000000001;3639.4195999999997;2248.02462;431.4581100000001;617.2389599999999;861.24269;2275.2087;1575.97593;939.2336099999999;2144.0785999999994;1069.96564;5172.537399999999;1.0;VALOR
GRANEL;;5010.6347;891.70758;698.342585;1217.2763699999998;650.8369899999999;1552.47121;4433.9056;156.769653;419.9592880000001;2019.9215;2990.71337;64.350978;989.07669;1578.21097;2378.99609;3957.2069999999994;1574.8726499999998;1693.21596;776.2625400000001;966.28354;887.43391;708.2981679999999;782.6911799999999;994.5809;411.02522300000004;492.236767;582.3498169999999;152.018778;546.454336;1018.54513;1742.46932;1098.54157;604.624033;121.76214099999999;152.382407;156.769653;718.9245199999999;376.75623;199.71094;777.2747400000001;425.84910800000006;2081.20513;2.0;VALOR
ENVASADA;;10076.3041;2237.8729;1342.6308;2523.7264999999998;1622.75705;2349.3181;7964.962200000001;704.4730599999999;1406.8699600000002;4585.194399999999;5491.1106;664.42972;2342.8093000000003;3544.3949000000002;3524.6715;7069.0662;2278.8453;2867.0348;2156.9684;2773.4569;2459.5393;1557.1870400000003;1623.29403;2142.6603;465.76009;688.5215700000001;635.0908099999999;504.25198;440.15624;1332.34502;4119.5255;2540.8778;1643.40057;309.69598;464.85655;704.4730599999999;1556.28447;1199.21963;739.52264;1366.8038099999997;644.11657;3091.3324999999995;2.0;VALOR
TOTAL CARNE;;1828097.0;451532.82;263120.36;467608.77;269784.82000000007;376050.04000000004;1382332.0;169130.08000000002;276634.55;941325.4199999999;886771.3900000001;104265.146;531249.3500000001;671645.6200000001;520936.6999999999;1192582.3800000001;283213.5;500847.76999999996;442040.83;601994.74;394975.47;257751.25;310784.18;374610.57;117035.164;150713.41;154001.97;68224.89700000001;130966.92399999998;286660.9;725744.5700000002;419623.62;265100.83;39459.57;86035.574;169164.62;343352.83;261594.99;157046.34;261677.01;88879.126;420886.80999999994;1.0;VALOR
CARNE CERTIFICADA;;286838.0;66665.594;37071.857;76419.262;41713.634;64967.679000000004;232262.37;18997.97;35577.675;134501.752;152336.28;10628.225199999999;66028.01199999999;107972.61800000002;102209.16200000001;210181.79;47435.863999999994;86619.911;66480.42;86301.82999999999;61559.438;36952.253;43196.702;55319.443999999996;21365.511000000002;32540.737;24008.157;11895.7873;23422.954999999998;45497.397;111017.129;65817.13200000001;41083.409;4910.2744999999995;9445.0791;19015.48;48645.146;41586.703;20546.013;46243.622;13608.708;82837.00399999999;2.0;VALOR
