Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
.TOTAL ALIMENTACION;;74241089.3138;18881814.868300002;11127785.771990001;18543888.20707;10473793.60593;15213805.328019999;57708051.6209;6419436.525754998;10113600.15912;37800963.77009999;36440123.8557;3976972.4399699997;20708469.25069;26091579.16906;23464067.369149998;49555647.044800006;14097539.63052;21758310.632910002;17184219.99159;21201018.8581;17196339.61838;10096345.791380001;12291211.35387;14539299.05282;4136713.56241;6526837.119387;6483462.273549999;2970880.264914;4714335.414036;11062533.486299999;29347909.72869;17465857.776899997;11650451.72949;1858228.2330160001;3710676.501754;6420151.969854998;12256344.45057;9403274.984199999;5805839.5953710005;10941733.95036;4507168.7426040005;19337669.57816;0.0;VALOR
T.HUEVOS KGS;;1115298.7208;272232.5407;160020.7671;273595.10560000007;163955.54426;245494.74250000002;880055.2807000001;91025.55314;144217.89735;537749.8544000001;577548.8362;65225.943040000006;287375.8771;381502.03729999997;381194.85970000003;762696.867;214496.08516999998;337189.5462;245843.67400000003;317769.3757;236030.40170000002;156357.44264999998;189899.85319999998;208632.5776;59079.62423000001;102546.06791;113840.80653999999;48911.972524000004;71997.88775999998;168487.3383;447226.1835;258928.03610000003;168659.25412999996;28915.985737000003;52731.351579999995;91048.78114;174922.28998;141905.75311;86112.47172999999;160028.06329999998;63845.490716;315788.5475;1.0;VALOR
T.HUEVOS UNDS.;;1115298.7208;272232.5407;160020.7671;273595.10560000007;163955.54426;245494.74250000002;880055.2807000001;91025.55314;144217.89735;537749.8544000001;577548.8362;65225.943040000006;287375.8771;381502.03729999997;381194.85970000003;762696.867;214496.08516999998;337189.5462;245843.67400000003;317769.3757;236030.40170000002;156357.44264999998;189899.85319999998;208632.5776;59079.62423000001;102546.06791;113840.80653999999;48911.972524000004;71997.88775999998;168487.3383;447226.1835;258928.03610000003;168659.25412999996;28915.985737000003;52731.351579999995;91048.78114;174922.28998;141905.75311;86112.47172999999;160028.06329999998;63845.490716;315788.5475;1.0;VALOR
TOTAL HUEVOS GALLINA;;1101804.05;269013.5;157973.11;270172.72000000003;162044.08000000002;242600.62000000005;869683.9;89786.535;142333.626;531073.13;570730.8899999999;64643.377;283544.68;376908.95;376707.04;753615.96;212132.37;332857.37;243108.22999999998;313706.04000000004;232528.67999999996;154646.3;187240.45000000004;206497.83;58424.104999999996;101443.209;112433.93400000001;48589.568;71101.429;166250.50000000003;441704.07000000007;256254.82;166493.20999999996;28620.716;52330.893000000004;89809.763;172632.40000000002;140154.59;85280.654;157819.7;63101.659;312053.69;2.0;VALOR
OTRAS AVES;;13494.670800000002;3219.0407;2047.6571;3422.3856;1911.46426;2894.1224999999995;10371.3807;1239.0181400000004;1884.27135;6676.7244;6817.9462;582.56604;3831.1971000000003;4593.0873;4487.8197;9080.907;2363.71517;4332.1762;2735.444;4063.3357;3501.7217;1711.1426499999998;2659.4032;2134.7476;655.51923;1102.85891;1406.8725399999998;322.404524;896.4587600000001;2236.8383;5522.1135;2673.2161;2166.04413;295.26973699999996;400.45858000000004;1239.0181400000004;2289.88998;1751.1631100000002;831.8177299999999;2208.3633;743.8317159999999;3734.8574999999996;2.0;VALOR
MIEL;;108083.33499999999;21806.952900000004;15298.8754;26560.528;15579.3981;28837.591999999997;90001.33500000002;6013.851499999999;12068.150300000001;46972.534;61110.808;4587.0404;23101.619000000002;36405.636999999995;43989.047;80394.688;29465.456;33321.067;20841.635000000002;24455.182;24674.277000000002;14731.118200000003;15881.0775;21368.6456;6083.9358;9456.7937;10594.2511;5293.2401;7559.675700000002;16535.8991;40483.943;27633.212;15870.610700000001;2821.7090000000003;4412.042729999999;6013.851499999999;15131.240699999998;10813.5437;6684.728900000001;15162.1784;8636.722099999999;38407.32;1.0;VALOR
GRANEL;;44072.959;8061.483900000001;6358.16025;10368.973899999999;5688.562179999999;13595.7795;39035.758;1466.70004;3570.50258;17254.009700000002;26818.948700000004;537.7947999999999;8438.3537;13464.659;21632.1504;35096.808;14358.074600000002;15113.154499999999;6758.385;7843.3429;8665.3764;5087.00522;6366.134600000001;8507.7832;3330.43246;4444.70389;5850.11759;1821.40529;4788.1453599999995;7804.5831;15212.3559;10493.4554;5774.41976;1012.22499;1352.8092100000001;1466.70004;5614.538799999999;3468.69899;1648.98056;6364.6221000000005;4029.7052019999996;19114.6782;2.0;VALOR
ENVASADA;;64010.384;13745.466500000002;8940.715100000001;16191.552799999998;9890.833999999999;15241.8101;50965.583;4547.1516;8497.6478;29718.524999999994;34291.859;4049.2452999999996;14663.261300000002;22940.977;22356.896999999997;45297.87500000001;15107.3811;18207.913;14083.248599999999;16611.8388;16008.901699999999;9644.113899999998;9514.9433;12860.861800000002;2753.5029;5012.089800000001;4744.1332;3471.8349000000003;2771.5303;8731.316;25271.587;17139.756;10096.1911;1809.4839299999999;3059.2335299999995;4547.1516;9516.7012;7344.8443;5035.7482;8797.557200000001;4607.016600000001;19292.645999999997;2.0;VALOR
TOTAL CARNE;;14131176.0;3534229.8000000003;2039746.6999999997;3605039.3;2029971.8;2922187.2;10919376.899999999;1189104.8699999999;2022692.8;7190964.1000000015;6940210.6000000015;735813.6100000001;3914592.9000000004;5145573.6;4335194.3;9480768.4;2390262.6;4036623.1000000006;3363695.6999999997;4340593.3;3264468.1000000006;1920404.4999999998;2224258.3;2882983.6;884182.9100000001;1146673.4500000002;1295562.7599999998;512641.33999999997;978605.94;2163026.1;5518721.199999999;3289534.5;2181286.9;302576.47000000003;654087.1;1189286.97;2493981.1;1976919.1;1150695.48;2093448.4000000001;740115.24;3530064.3;1.0;VALOR
CARNE CERTIFICADA;;2595144.7999999993;607861.7100000001;335616.14;683450.3300000001;370869.87;597346.7100000001;2137009.0;155628.15;302507.65;1187070.42;1408074.3;88638.92000000001;567136.34;951345.2999999998;988024.17;1939369.5;470945.04;813538.79;597090.98;713569.9299999999;603669.68;322286.59;344080.57000000007;505429.55999999994;192041.27999999997;279235.86000000004;249870.02000000002;98531.248;207365.06999999998;398090.56999999995;989279.4;597482.5599999999;402927.15;44684.89200000001;85347.356;155748.7;405850.87;370436.20999999996;169637.41;425926.09;127732.11;809781.1300000001;2.0;VALOR
