Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
.TOTAL ALIMENTACION;;99.978;83.453;8.352;78.661;99.743;99.435;85.902;21.59;9.355;4.963;28.1;28.804;54.177;20.637;25.312;2.207;50.176;8.164;61.869;12.513;13.091;58.788;29.877;0.0;VALOR
T.HUEVOS KGS;;96.936;28.174;1.407;37.084;91.35;86.341;47.865;0.471;0.452;0.0;1.798;0.112;9.556;2.774;6.167;1.429;3.696;0.59;12.61;6.195;4.498;11.527;8.589;1.0;VALOR
T.HUEVOS UNDS.;;96.936;28.174;1.407;37.084;91.35;86.341;47.865;0.471;0.452;0.0;1.798;0.112;9.556;2.774;6.167;1.429;3.696;0.59;12.61;6.195;4.498;11.527;8.589;1.0;VALOR
TOTAL HUEVOS GALLINA;;96.766;28.07;1.404;36.636;90.963;85.75;47.676;0.469;0.485;0.0;1.788;0.112;9.398;2.767;6.121;1.429;3.696;0.59;12.587;6.191;4.479;11.326;8.548;2.0;VALOR
OTRAS AVES;;16.574;1.269;0.016;3.119;12.662;11.4;1.963;0.115;0.037;0.0;0.036;0.0;0.658;0.183;0.327;0.0;0.0;0.0;0.244;0.481;0.171;0.753;0.291;2.0;VALOR
MIEL;;34.913;4.97;0.261;6.386;23.362;18.939;7.067;0.016;0.556;0.04;0.458;0.012;0.658;1.304;1.403;0.065;0.266;0.024;1.579;0.379;2.739;4.727;1.188;1.0;VALOR
GRANEL;;10.813;4.56;0.238;0.0;0.056;0.056;0.0;0.0;0.342;0.04;0.421;0.012;0.646;1.25;1.498;0.056;0.209;0.0;1.49;0.379;2.722;4.14;0.501;2.0;VALOR
ENVASADA;;28.518;0.662;0.124;6.386;23.338;18.914;7.067;0.016;0.204;0.0;0.026;0.0;0.008;0.11;0.102;0.007;0.077;0.024;0.105;0.0;0.063;1.05;0.897;2.0;VALOR
TOTAL CARNE;;99.871;60.849;2.597;62.384;98.893;97.903;72.792;4.875;1.04;0.144;7.808;0.667;53.272;3.682;11.749;0.29;1.563;0.752;4.11;2.973;3.499;25.327;14.866;1.0;VALOR
CARNE CERTIFICADA;;83.515;39.105;0.815;23.879;73.242;66.079;33.15;1.286;0.147;0.0;3.143;0.207;35.275;0.507;6.08;0.0;0.252;0.141;0.565;0.812;1.424;6.505;4.328;2.0;VALOR
CARNE FRESCA;;99.319;56.219;1.294;48.453;96.739;94.131;62.599;1.143;0.35;0.0;6.406;0.409;51.318;1.189;10.212;0.186;0.626;0.249;1.675;2.638;2.319;13.838;10.918;2.0;VALOR
SALCHICHAS FRESCAS;;36.173;17.24;0.286;3.871;20.939;18.767;2.822;0.0;0.0;0.0;0.048;0.025;15.222;0.137;2.275;0.0;0.032;0.031;0.135;0.097;0.189;1.109;1.013;3.0;VALOR
CARNE VACUNO;;91.711;42.135;0.629;27.828;79.842;72.551;33.042;0.214;0.176;0.0;2.637;0.209;38.645;0.407;6.145;0.005;0.168;0.11;0.61;0.41;0.946;5.711;4.528;3.0;VALOR
TERNERA;;87.478;40.03;0.611;22.668;72.506;64.505;27.761;0.147;0.122;0.0;0.494;0.209;36.76;0.232;5.496;0.005;0.116;0.089;0.516;0.417;1.026;4.342;3.584;4.0;VALOR
AÑOJO;;56.417;12.987;0.115;13.481;44.887;38.401;13.831;0.077;0.038;0.0;1.805;0.0;11.819;0.204;1.758;0.0;0.094;0.012;0.127;0.027;0.174;1.779;1.689;4.0;VALOR
MAYOR;;31.527;7.484;0.037;6.28;21.568;18.154;4.825;0.022;0.04;0.0;0.526;0.0;6.458;0.0;1.201;0.0;0.0;0.026;0.0;0.006;0.055;1.144;0.577;4.0;VALOR
CARNE POLLO;;97.761;43.84;0.758;32.709;92.536;87.415;51.19;0.64;0.136;0.0;2.055;0.282;39.541;0.518;6.797;0.056;0.293;0.112;0.571;1.367;0.747;7.275;7.167;3.0;VALOR
POLLO ENTERO;;61.323;19.94;0.296;9.054;48.044;40.798;15.993;0.134;0.059;0.0;0.433;0.076;17.387;0.097;2.454;0.0;0.121;0.012;0.109;1.274;0.461;2.22;1.709;4.0;VALOR
POLLO FILETES;;80.204;23.559;0.343;13.814;69.796;59.156;29.115;0.002;0.026;0.0;0.474;0.092;20.874;0.084;3.107;0.0;0.059;0.035;0.204;0.031;0.079;2.435;2.639;4.0;VALOR
POLLO POR PIEZAS;;95.867;39.896;0.677;28.202;89.327;83.008;45.692;0.524;0.09;0.0;1.487;0.135;35.618;0.443;5.998;0.056;0.209;0.102;0.422;0.192;0.388;5.491;6.03;4.0;VALOR
CARNE CONEJO;;46.141;12.223;0.425;6.147;35.338;30.546;9.339;0.0;0.01;0.0;0.344;0.081;9.85;0.037;2.469;0.0;0.137;0.0;0.075;0.96;0.778;1.115;0.997;3.0;VALOR
CARNE OVINO/CAPRINO;;49.838;20.875;0.211;7.921;33.401;31.307;4.839;0.0;0.007;0.0;0.288;0.048;18.094;0.147;3.602;0.0;0.031;0.037;0.165;0.607;0.632;1.293;1.015;3.0;VALOR
CORDERO;;47.267;19.312;0.211;7.574;31.486;29.575;4.324;0.0;0.007;0.0;0.253;0.048;16.6;0.143;3.252;0.0;0.023;0.037;0.156;0.49;0.687;1.164;0.98;4.0;VALOR
CABRITO;;8.586;3.275;0.0;0.994;4.717;4.376;0.341;0.0;0.0;0.0;0.097;0.0;2.687;0.006;0.691;0.0;0.019;0.0;0.0;0.188;0.134;0.187;0.07;4.0;VALOR
