Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
.TOTAL ALIMENTACION;;26878173.571560003;3347662.825780001;107339.50089000001;3488659.080282999;17449351.64293;13762828.353802;3686523.283058;59624.98447800001;17534.885763;2403.849065;179295.078789;125430.824653;346830.501699;378005.254468;436834.519046;11302.903815;422662.503555;40963.587162;1701981.842443;497689.17031099997;106776.289973;700641.418816;622753.063991;0.0;VALOR
T.HUEVOS KGS;;374391.5992;34339.867565;1340.51245;37445.940028;248672.67902;198219.76848;50452.911712;447.26902600000005;256.816849;0.0;2071.528418;35.072444;6576.234262000001;2491.6930939999997;6589.398181;2351.426496;1875.559552;528.368384;11949.997934;22931.239804;9623.360515999999;9445.034099;6029.739928999999;1.0;VALOR
T.HUEVOS UNDS.;;5973626.680000001;544671.4505;21082.170860000002;601415.6248;3973294.142;3179378.268;793915.8831999999;7836.9385999999995;4483.0715;0.0;32474.327670000002;548.00694;104878.45422;39370.275200000004;106242.58206999999;36741.039;29305.618000000002;8255.756000000001;187352.66537;364935.82839999994;151182.68177000002;149697.27647;95502.83681;1.0;VALOR
TOTAL HUEVOS GALLINA;;5826950.600000001;535058.3899999999;20920.1989;582070.0700000001;3869254.4000000004;3081962.7;787291.7200000001;6831.474799999999;3925.66915;0.0;32347.873000000003;548.00694;102360.18000000001;38851.672999999995;102351.34;36741.039;29305.618000000002;8255.756000000001;186601.32;357071.87999999995;150213.587;147186.321;93976.13999999998;2.0;VALOR
OTRAS AVES;;146676.08000000002;9613.0605;161.97196000000002;19345.5548;104039.742;97415.568;6624.163199999999;1005.4638;557.40235;0.0;126.45467;0.0;2518.27422;518.6022;3891.24207;0.0;0.0;0.0;751.34537;7863.948400000001;969.09477;2510.95547;1526.69681;2.0;VALOR
MIEL;;15086.941200000001;1821.23765;88.07426899999999;1732.1668300000001;7600.4914;5982.4815;1618.00963;7.5788850000000005;127.293357;6.356828999999999;179.005772;3.157833;160.73445999999998;399.335176;525.6895010000001;5.813536;61.845811000000005;1.744661;599.8022;338.66736799999995;1510.29766;1056.00844;361.65551;1.0;VALOR
GRANEL;;5010.6347;1612.948;55.287368;0.0;7.864908;7.864908;0.0;0.0;87.85819200000002;6.356828999999999;177.31123300000002;3.157833;159.68589;380.507206;491.70259100000004;4.224514;41.716375;0.0;561.0326;338.66736799999995;1490.8610700000002;829.71924;117.468146;2.0;VALOR
ENVASADA;;10076.3041;208.289638;32.786899;1732.1668300000001;7592.626499999999;5974.616599999999;1618.00963;7.5788850000000005;39.43515899999999;0.0;1.6945389999999998;0.0;1.048578;18.82798;33.986907;1.589022;20.129432;1.744661;38.769605000000006;0.0;19.436619;226.289158;244.187363;2.0;VALOR
TOTAL CARNE;;1828097.0;372273.54;4021.1766000000002;188758.55000000002;1168060.0599999998;926891.4199999999;241168.66;6692.4019;300.951447;50.286521;2794.0997;294.113826;307456.75;2421.9377999999997;43764.865;116.794082;833.9520899999998;477.17584;1525.0334999999998;19327.501800000002;7828.524600000001;35354.951;27256.489999999998;1.0;VALOR
CARNE CERTIFICADA;;286838.0;93495.695;734.37171;27603.624;144934.96;118156.659;26778.299000000003;1008.18858;66.710949;0.0;924.004;61.482697;79795.102;528.902905;10683.1264;0.0;150.703598;25.532053000000005;146.481453;6742.250099999998;2670.08032;6204.9614;2999.1692000000003;2.0;VALOR
CARNE FRESCA;;1304606.3;315983.45;2678.4896999999996;121022.87099999998;796713.31;627840.76;168872.57;651.0148750000001;198.05496699999998;0.0;2235.9162;220.24935399999998;269556.82;1277.1281;36720.18;92.827144;548.733021;309.21459000000004;728.6148929999999;18681.8784;5146.519;23131.701;17734.926;2.0;VALOR
SALCHICHAS FRESCAS;;13566.895;6541.2815;37.476393;817.8499800000001;5607.304199999999;5229.6474;377.65668999999997;0.0;0.0;0.0;3.9373600000000004;3.7965120000000003;5701.970399999999;44.283424;698.0887200000001;0.0;7.962413;4.627865;24.731425;4.122122;36.3658;317.99238099999997;156.280902;3.0;VALOR
CARNE VACUNO;;179694.53000000003;64068.731;318.08063799999996;18691.243;87688.154;72510.85800000001;15177.298;105.79377699999999;47.10899;0.0;540.51369;41.767165999999996;56076.191999999995;384.73247;7010.899599999999;0.616229;112.668107;64.85752799999999;102.12661899999999;1567.40089;553.4494;3640.9981000000002;2241.2186;3.0;VALOR
TERNERA;;130238.425;54022.753;277.837319;10498.094000000001;59225.646;48607.931000000004;10617.7129;39.232847;31.322218999999997;0.0;126.30608800000002;41.767165999999996;47632.266;339.631583;5579.8713;0.616229;89.704654;52.68724099999999;87.889265;1548.831534;412.02541799999995;2218.4804;1568.83657;4.0;VALOR
AÑOJO;;39150.555;7626.605600000001;34.487725000000005;6230.028600000001;23152.953999999998;19461.427000000003;3691.5254999999997;64.634349;10.550936;0.0;313.610296;0.0;6375.4561;45.100862000000006;1103.3969299999999;0.0;22.963452999999998;8.357869;14.237357;7.354986;119.682646;1102.6313599999999;518.0976700000001;4.0;VALOR
