Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
.TOTAL ALIMENTACION;;99.973;99.986;99.972;99.97;99.963;99.972;99.976;99.963;99.976;99.975;99.972;99.964;99.969;99.981;99.987;99.984;99.972;99.981;99.972;99.969;99.97;99.972;99.976;99.969;99.982;99.988;99.973;99.965;99.952;99.965;99.978;99.974;99.978;99.959;99.969;99.963;99.976;99.981;99.96;99.994;99.967;99.987;0.0;VALOR
T.HUEVOS KGS;;97.173;97.772;96.81;97.381;97.17;96.581;97.04;97.294;98.075;97.048;97.339;97.907;96.768;97.493;97.454;97.476;96.646;97.452;97.0;97.743;97.948;98.445;97.64;97.263;95.693;92.47;97.498;96.255;94.301;96.633;97.02;97.512;98.555;96.442;96.592;97.294;98.06;97.467;97.837;97.572;96.326;97.318;1.0;VALOR
T.HUEVOS UNDS.;;97.173;97.772;96.81;97.381;97.17;96.581;97.04;97.294;98.075;97.048;97.339;97.907;96.768;97.493;97.454;97.476;96.646;97.452;97.0;97.743;97.948;98.445;97.64;97.263;95.693;92.47;97.498;96.255;94.301;96.633;97.02;97.512;98.555;96.442;96.592;97.294;98.06;97.467;97.837;97.572;96.326;97.318;1.0;VALOR
TOTAL HUEVOS GALLINA;;97.01;97.679;96.48;97.295;96.943;96.408;96.898;97.169;97.769;96.907;97.147;97.786;96.631;97.324;97.265;97.297;96.555;97.39;96.654;97.527;97.859;98.337;97.465;97.057;95.34;92.201;97.37;96.148;94.036;96.3;96.88;97.375;98.483;96.449;96.47;97.169;97.796;97.153;97.706;97.453;96.318;97.118;2.0;VALOR
OTRAS AVES;;16.654;19.671;18.664;14.169;17.892;14.482;16.029;17.794;20.541;16.331;17.069;17.234;15.41;19.409;15.475;17.517;11.264;16.075;19.621;21.543;21.376;15.504;20.75;12.334;15.566;10.995;18.445;9.06;13.544;18.489;17.135;15.114;17.126;9.916;11.514;17.794;21.443;24.221;19.59;18.908;8.89;14.938;2.0;VALOR
MIEL;;36.114;33.684;34.94;35.715;36.228;39.69;36.926;32.754;34.063;33.222;39.674;38.173;30.82;37.367;40.802;39.029;37.149;36.484;35.238;35.24;40.593;35.536;35.958;35.877;33.871;30.079;27.82;49.161;30.223;33.956;36.382;36.509;39.244;30.878;32.343;32.754;33.434;37.935;34.943;38.548;35.225;40.6;1.0;VALOR
GRANEL;;11.264;10.16;12.415;12.929;8.944;13.18;12.367;8.008;6.504;10.383;13.317;5.739;8.979;11.81;15.301;13.368;14.414;12.402;8.095;9.219;12.251;12.846;9.456;12.347;15.889;15.191;9.462;4.172;13.018;10.738;11.982;10.119;11.995;9.846;7.177;8.008;5.342;11.437;8.97;15.268;12.05;16.043;2.0;VALOR
ENVASADA;;29.146;28.908;28.837;27.972;29.656;30.672;29.238;28.889;29.556;27.65;31.054;34.694;26.492;30.413;30.519;30.466;27.352;28.719;31.066;30.336;33.6;27.854;29.483;30.05;23.36;19.223;22.717;44.782;20.329;27.01;29.396;29.735;32.863;25.691;28.832;28.889;29.989;32.284;30.454;29.779;26.503;29.741;2.0;VALOR
TOTAL CARNE;;99.855;99.909;99.92;99.714;99.948;99.834;99.837;99.877;99.96;99.901;99.79;99.875;99.892;99.943;99.738;99.85;99.729;99.906;99.898;99.905;99.792;99.838;99.925;99.951;99.916;99.948;99.764;99.203;99.818;99.938;99.823;99.816;99.915;99.812;99.863;99.877;99.957;99.971;99.926;99.96;99.866;99.691;1.0;VALOR
CARNE CERTIFICADA;;83.48;89.436;83.334;83.66;81.799;78.243;82.139;87.675;89.547;83.88;83.304;81.335;85.34;85.742;82.137;84.017;73.677;84.964;87.193;89.348;83.482;84.061;83.484;82.809;84.969;88.132;83.527;73.924;85.209;84.206;83.543;83.147;82.499;69.835;82.601;87.675;89.978;89.266;87.263;87.982;74.758;81.614;2.0;VALOR
CARNE FRESCA;;99.197;99.494;99.24;98.892;99.138;99.229;99.022;99.672;99.763;99.042;99.407;99.094;99.215;99.289;99.337;99.313;98.102;99.455;99.591;99.695;99.073;99.27;99.427;99.453;99.507;98.965;98.711;98.133;98.987;99.585;99.165;98.912;99.366;97.04;99.317;99.672;99.691;99.893;99.359;99.662;97.842;99.276;2.0;VALOR
SALCHICHAS FRESCAS;;36.399;42.773;36.155;36.458;34.309;31.81;34.197;47.122;45.569;37.904;34.845;33.44;38.306;41.044;32.717;37.025;23.359;35.014;44.376;46.816;47.995;36.18;33.781;36.17;42.321;28.924;39.344;6.711;43.846;40.986;36.244;34.445;33.058;19.466;28.685;47.122;48.447;49.941;38.08;40.599;23.754;31.464;3.0;VALOR
CARNE VACUNO;;91.551;95.24;91.804;90.949;90.325;88.894;90.556;94.66;95.412;91.541;91.625;91.541;92.088;92.378;91.455;91.944;84.682;92.867;94.145;95.177;92.094;90.419;88.906;92.871;94.101;91.995;93.725;89.731;90.917;90.908;91.494;90.909;93.44;80.374;91.475;94.66;95.512;95.859;93.623;93.351;83.856;91.227;3.0;VALOR
TERNERA;;87.493;91.351;88.823;86.7;86.578;84.1;86.141;91.629;92.844;88.068;86.802;87.959;88.347;89.148;85.999;87.661;79.123;88.776;90.423;92.784;89.063;86.402;84.446;88.166;90.845;90.386;90.009;80.232;87.386;87.684;87.122;86.772;89.322;77.481;85.806;91.629;92.997;93.683;89.645;89.777;78.521;85.699;4.0;VALOR
