Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
POLLO ENTERO;;502432.7;118116.00499999999;752.60282;41931.676999999996;281598.18;238678.80999999997;42919.398;135.028823;99.79419999999999;860.4065599999999;0.0;79.89196;99279.353;314.74996;14910.966400000001;0.0;134.97088;131.4897;181.60501;35545.055;5029.717300000001;8643.091100000001;9641.2242;4.0;VALOR
POLLO FILETES;;587776.14;111006.702;291.62417;38175.384000000005;424515.86000000004;336840.3;87675.556;86.91234000000001;27.214824999999998;145.105513;0.0;47.380939;97408.375;248.32694200000003;11581.7776;0.0;45.705872;27.44128;250.078173;449.98026999999996;171.14727900000003;5718.9401;7053.094;4.0;VALOR
POLLO POR PIEZAS;;1963643.3;366567.42;3383.35584;189060.3;1335153.8000000003;1037435.33;297718.27;1397.7562750000002;336.8407310000001;1137.66387;0.0;231.10261400000002;315913.80000000005;502.465651;41184.990999999995;29.86359;262.699772;127.93983000000001;931.65441;3802.1817300000002;2374.7019299999997;30363.829999999998;31297.766000000003;4.0;VALOR
CARNE CONEJO;;236332.44999999998;54953.22799999999;422.79216;22629.289;132980.77;116055.65500000001;16925.1072;22.96869;223.38777000000002;574.3229200000001;0.0;0.0;40004.14000000001;106.275924;13216.723100000001;0.0;211.5794;0.0;71.22748;17289.7845;2437.37334;2385.0256900000004;2553.6087599999996;3.0;VALOR
CARNE OVINO/CAPRINO;;559383.62;211365.489;711.6268;55457.484000000004;229844.24999999997;220994.71000000002;8849.549500000001;58.89425;328.77750000000003;434.35159999999996;13.43306;175.19153;171268.112;692.82757;36932.138999999996;0.0;341.0652610000001;222.02467000000001;337.25057;22808.714500000006;12138.7022;17890.6667;8039.5006;3.0;VALOR
CORDERO;;486050.89;182185.923;682.30695;47607.755;206059.79000000004;198238.28;7821.520400000001;58.89425;328.77750000000003;321.78872;13.43306;175.19153;148914.33499999996;527.55249;30273.721999999998;0.0;313.21164000000005;222.02467000000001;337.25057;15075.835000000001;10027.213329999999;15738.543000000001;7824.258100000001;4.0;VALOR
CABRITO;;57603.503;20016.1091;29.31985;7274.9741;19695.729399999997;18716.6924;979.0368;0.0;0.0;112.5629;0.0;0.0;15182.641;0.0;4825.08108;0.0;8.387441;0.0;0.0;6724.6578;1831.86911;1835.00981;83.26889;4.0;VALOR
OTRO OVINO/CAPRINO;;15729.153600000001;9163.464;0.0;574.7466000000001;4088.7374299999997;4039.74449;48.99257800000001;0.0;0.0;0.0;0.0;0.0;7171.1491399999995;165.27508;1833.33639;0.0;19.46618;0.0;0.0;1008.2233000000001;279.6201;317.11387;131.973718;4.0;VALOR
OVINO/CAPRINO ENTE;;130938.008;36484.1518;0.0;9282.373;40108.1449;37460.213;2647.92613;0.0;208.52043;147.7397;13.43306;82.77225;29468.300600000002;0.0;5721.1394;0.0;272.8763;0.0;0.0;21623.441000000003;11857.139929999998;7596.193599999999;3838.8215;4.0;VALOR
OVINO/CAPRINO PIEZ;;428445.5900000001;174881.312;711.6268;46175.109000000004;189736.12000000002;183534.51;6201.623299999999;58.89425;120.257;286.6119;0.0;92.41927999999999;141799.823;692.82757;31211.002000000004;0.0;68.188961;222.02467000000001;337.25057;1185.2733;281.56301;10294.4742;4200.6795;4.0;VALOR
CARNE CERDO;;3176723.2999999993;859711.59;7121.449;286683.8;1840998.7;1506722.5;334276.5200000001;1880.0493900000001;303.483061;2070.92152;0.0;185.505279;740957.43;3922.2431000000006;97400.287;49.59174;614.072258;210.01145100000002;3197.8094899999996;60118.07020999999;13539.338940000001;62052.366;40504.573000000004;3.0;VALOR
CARNE CERDO ADOBAD;;331449.37;83953.448;383.983144;31822.230000000003;200120.64000000004;157333.78;42786.859000000004;125.48701400000002;9.589143;232.24021;0.0;0.0;75917.51699999999;286.25767;6447.621000000001;0.0;53.69773000000001;7.95234;140.22978999999998;1971.57965;1322.03449;6925.9553;4431.0361;4.0;VALOR
CARN.CERDO IBERICO;;141386.055;59004.14499999999;313.04608500000006;10570.8905;54958.15200000001;47982.974;6975.1772;530.5011999999999;84.79960000000001;155.91803;0.0;14.339780000000001;48860.647;30.558307;7534.6865;0.0;7.556348;8.61247;143.39559;2301.4292499999997;4419.2731300000005;7794.34217;1838.28897;4.0;VALOR
CARNE DESPOJOS;;183837.506;72647.49;665.1844800000001;14487.525300000001;89438.15100000001;85760.14599999998;3678.0056;142.10823900000003;44.748602000000005;33.74315;0.0;19.246264;53027.877;94.75030100000001;18483.3859;5.803314;8.347736000000001;30.678873;279.89623200000005;40.72618;250.87876100000003;4049.4961;2129.57384;3.0;VALOR
DESPOJOS CERDO;;85289.43000000001;33165.498;380.15935900000005;6501.6279;41759.524;40042.223999999995;1717.29961;6.510350000000001;14.906414000000002;14.239139999999999;0.0;15.140544;26878.884000000002;76.17804100000001;5655.195799999999;0.0;8.347736000000001;2.846163;108.76535899999999;40.72618;183.87568100000001;2201.3133800000005;966.28827;4.0;VALOR
DESPOJOS CORDERO;;12150.0689;7281.688600000001;50.52111800000001;893.83902;3610.8328000000006;3590.0578000000005;20.77497;0.0;4.904352;0.0;0.0;0.0;4963.6311000000005;18.57226;2272.67243;0.0;0.0;0.0;21.566419999999997;0.0;0.0;189.62232;104.992665;4.0;VALOR
DESPOJOS POLLO;;34352.906;5154.236199999999;79.14065500000001;2667.9402099999998;25625.142000000007;24873.829999999998;751.3139330000001;5.5584489999999995;0.0;2.70988;0.0;4.1057179999999995;3947.2782;0.0;1119.9670399999998;0.0;0.0;0.0;23.891952000000003;0.0;18.30927;297.55906500000003;507.86908600000004;4.0;VALOR
DESPOJOS TERNERA;;46370.349;25455.001900000003;155.36337;3771.7969000000003;15313.256699999998;14333.574200000001;979.6837429999998;130.03944;19.955364;16.794130000000003;0.0;0.0;16028.316899999998;0.0;9152.7045;5.803314;0.0;27.83271;37.53726;0.0;48.693839999999994;1239.7243420000002;369.716101;4.0;VALOR
DESPOJOS OT.PROCED;;5674.7687000000005;1591.06404;0.0;652.32313;3129.39705;2920.46378;208.933314;0.0;4.982472;0.0;0.0;0.0;1209.7636069999999;0.0;282.84727899999996;0.0;0.0;0.0;88.13529;0.0;0.0;121.27698000000001;180.70772;4.0;VALOR
OTRAS CARNES FRESCA;;950894.4700000001;139653.12900000002;997.4774399999999;88631.092;682496.7100000001;534212.31;148284.43;388.03828999999996;132.718086;660.471332;0.0;148.816698;114835.06100000002;465.630311;21387.619999999995;124.01111999999999;422.0456;103.44019999999999;529.3093359999999;9316.231;1771.114427;10327.6566;16575.0174;3.0;VALOR
AVESTRUZ;;1495.9801899999998;206.57468000000003;0.0;156.33923;832.3883800000001;572.4469899999999;259.94135400000005;0.0;0.0;0.0;0.0;0.0;148.22528;0.0;58.3494;0.0;0.0;0.0;0.0;0.0;0.0;300.67798;0.0;4.0;VALOR
PAVO;;473410.94999999995;54223.293000000005;450.51036500000004;43479.921;358974.62;277980.75;80993.89700000003;281.54043;46.923128000000005;381.72343299999994;0.0;46.561398000000004;44494.58399999999;153.636449;8103.408200000001;0.0;78.9208;0.0;161.017186;3193.88382;290.95550000000003;4351.0578;7911.3673;4.0;VALOR
OTRAS AVES;;81385.188;12873.993799999998;119.27469;10204.2986;53738.368;42525.047;11213.324;25.523580000000003;4.901238;5.324949999999999;0.0;89.32158;9910.435099999999;59.695615;2483.055279;0.0;154.7164;0.0;0.0;1501.249636;342.571647;765.3439179999999;1775.06666;2.0;VALOR
