Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
.TOTAL ALIMENTACION;;74241089.3138;13308988.390414001;2133886.1105139996;1753465.1542790001;7873221.384109998;2223124.4188599996;12291211.35387;9882060.966471;3129754.696177;1527483.4906449998;4136713.56241;4667466.610632;1859370.546938;818071.330632;4152743.89818;483986.527956;1028660.5007229999;2970880.264914;0.0;VALOR
T.HUEVOS KGS;;1115298.7208;184406.11624000003;31306.087389999997;20318.170079999996;125622.06565;30735.35494;189899.85319999998;144556.40763;44108.621450000006;19967.562504999998;59079.62423000001;73434.75912999999;29111.310834999997;16404.136477000004;71551.48472;8427.87493;17457.314868999998;48911.972524000004;1.0;VALOR
T.HUEVOS UNDS.;;1115298.7208;184406.11624000003;31306.087389999997;20318.170079999996;125622.06565;30735.35494;189899.85319999998;144556.40763;44108.621450000006;19967.562504999998;59079.62423000001;73434.75912999999;29111.310834999997;16404.136477000004;71551.48472;8427.87493;17457.314868999998;48911.972524000004;1.0;VALOR
TOTAL HUEVOS GALLINA;;1101804.05;181958.13999999998;30631.599000000002;19938.913;124357.523;30288.755000000005;187240.45000000004;143263.68;43431.130000000005;19803.034;58424.104999999996;72417.709;29025.502;16361.483000000004;70389.592;8338.2635;17344.6;48589.568;2.0;VALOR
OTRAS AVES;;13494.670800000002;2447.97624;674.48839;379.25708;1264.5426499999999;446.59993999999995;2659.4032;1292.7276299999999;677.4914499999999;164.528505;655.51923;1017.0501300000001;85.80883500000002;42.653476999999995;1161.89272;89.61143000000001;112.71486900000001;322.404524;2.0;VALOR
MIEL;;108083.33499999999;19521.4426;2835.76407;2317.07176;11830.8864;2900.2335799999996;15881.0775;16144.870099999998;4009.7166;1214.05714;6083.9358;7262.9373000000005;2193.8563099999997;1052.64322;7723.247899999999;413.919997;1404.439249;5293.2401;1.0;VALOR
GRANEL;;44072.959;6632.5594;1665.1693400000004;367.64753;4256.76342;830.24172;6366.134600000001;6428.91953;1854.6924600000002;224.17064999999997;3330.43246;3524.9552000000003;919.7485;367.46302;4435.187;143.85460999999998;903.61235;1821.40529;2.0;VALOR
ENVASADA;;64010.384;12888.8825;1170.5948500000002;1949.42396;7574.1215;2069.99179;9514.9433;9715.9498;2155.02404;989.8865999999999;2753.5029;3737.9822000000004;1274.10763;685.1801899999999;3288.0608;270.06538;500.826872;3471.8349000000003;2.0;VALOR
TOTAL CARNE;;14131176.0;2522952.6;435092.31;306423.17000000004;1497407.0;422997.49999999994;2224258.3;1945731.3000000003;663331.1699999999;273921.11;884182.9100000001;807362.1599999999;339311.3;139052.31;842913.05;104463.00399999999;209134.32;512641.33999999997;1.0;VALOR
CARNE CERTIFICADA;;2595144.7999999993;460622.38999999996;86022.37;57024.913;253514.91;68771.666;344080.57000000007;349968.47000000003;112434.524;43026.558;192041.27999999997;210859.15000000002;68376.727;28487.704999999998;161593.71000000002;15876.821699999999;43911.808999999994;98531.248;2.0;VALOR
