Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
CARNE FRESCA;;1377818.43;353811.12;193052.45;342877.36;206137.41999999995;281940.08;1046058.74;118062.546;213697.12999999995;731209.0599999999;646609.34;67012.445;387196.45000000007;526447.04;397162.47;923609.51;211122.38;383514.77;328172.92000000004;455008.35;305829.07999999996;199928.75;219896.84999999995;279917.88999999996;92071.35600000001;118155.043;122854.96800000001;39164.488000000005;101326.041;222632.25000000003;551020.1000000001;302089.85;200750.16;30147.727;62236.642;118062.546;258254.55;203087.18;119138.53199999999;198437.25;65867.33;322586.66;2.0;VALOR
SALCHICHAS FRESCAS;;13952.713099999999;3800.3212000000003;2048.8965;3228.0928;2174.2973;2701.1056000000003;10476.314699999999;1094.50991;2381.8893;7471.9592999999995;6480.754399999999;509.3438299999999;3574.0133000000005;5788.3921;4080.9643;9869.3567;1797.1388000000002;3613.6693999999993;3198.2419;5343.663699999999;5041.0474;1516.45231;1616.59709;2473.0778000000005;1295.92529;414.48494000000005;1547.1804;47.948477;1451.5527499999998;2367.6324999999997;5191.4076;2897.0731;2045.0478000000003;195.285827;432.11025;1094.50991;3001.9968000000003;2353.1229999999996;1166.45712;1828.7624;563.1599499999999;3317.3082999999997;3.0;VALOR
CARNE VACUNO;;180115.71000000002;46838.729;26205.456000000002;45995.002;24895.272999999997;36181.273;140013.53399999999;15438.347000000003;24663.847;93699.619;86416.11200000001;8907.4824;46278.638;68149.00499999999;56780.60600000001;124929.62299999999;30366.448;52486.044;42793.753;54469.485;39007.237;20449.756999999998;20097.599000000002;41032.833;13108.968900000002;18823.849000000002;20044.345999999998;7551.1386;11266.753700000001;26421.795000000002;69588.117;41985.801999999996;30853.265000000007;3844.7411999999995;8483.8636;15438.347000000003;30143.877999999997;26032.268999999997;13718.4334;26469.511;9117.5439;46867.148;3.0;VALOR
TERNERA;;132115.258;34358.49;19640.732000000004;33321.486;18257.347;26537.200999999997;101707.152;12009.2042;18398.894999999997;69717.59;62397.668;6929.0419;35254.886;48922.881;41008.445999999996;89931.326;21630.236000000004;38633.028;31526.748;40325.242999999995;32178.894999999997;14621.853;14139.081999999999;26826.321;10486.125699999999;17055.254;14033.766699999996;2773.9599999999996;8402.6747;20776.49;51002.236;29996.265;21937.593000000004;3122.3945999999996;6498.862999999999;12009.2042;22159.046000000002;19033.507;9858.1464;19230.218;6402.5504;33801.325000000004;4.0;VALOR
AÑOJO;;37491.248999999996;9943.2544;4801.104799999999;10170.0636;5018.8315999999995;7557.994299999999;29863.71;2596.5013;5031.0375;18294.302;19196.948;1528.4570299999998;8310.077399999998;15137.295600000003;12515.4194;27652.714000000004;7035.7907;10397.887900000002;8690.6405;11366.9293;4823.094700000001;4653.4542;4773.3039;11784.820999999998;2053.58318;1086.8077600000001;4370.009599999999;3946.1744000000003;2349.2087300000003;4040.6216;14681.729900000002;9266.4493;7153.2392;580.64556;1486.6353299999998;2596.5013;6380.4983;5546.6795;2979.6143999999995;5353.461;2048.06397;10519.1481;4.0;VALOR
MAYOR;;10509.226200000001;2536.9855;1763.61636;2503.4501000000005;1619.0958100000003;2086.0781800000004;8442.673400000001;832.6397700000001;1233.9133399999998;5687.7305;4821.4956;449.98355999999995;2713.6751000000004;4088.8271;3256.7401000000004;7345.5672;1700.4191700000001;3455.1304999999998;2576.3632;2777.3135;2005.2486999999996;1174.4515999999999;1185.2156300000001;2421.691;569.26013;681.7870099999999;1640.56814;831.0042000000001;514.87079;1604.68212;3904.1515999999997;2723.0891;1762.4329899999998;141.700972;498.36533000000003;832.6397700000001;1604.33312;1452.0831500000002;880.6719400000002;1885.8310999999999;666.92947;2546.6716;4.0;VALOR
CARNE POLLO;;557906.74;146901.7;80029.98599999999;136266.56399999998;84119.92099999999;110588.61099999998;414546.87;51395.68199999999;91964.189;305413.94;252492.78000000003;29803.778000000002;166905.49;214106.22;147091.25999999998;361197.48000000004;84185.052;147760.77999999997;134649.395;191311.49;120895.94099999999;87079.119;99276.994;114448.57799999998;32525.375;42924.403;46947.630000000005;13808.690000000002;38977.189;90671.05;223581.38999999998;122193.698;82483.424;13876.811999999996;27270.394999999997;51395.68199999999;108645.352;83838.241;51386.475999999995;76320.31800000001;26680.704999999998;118492.74900000001;3.0;VALOR
POLLO ENTERO;;126914.529;31797.338999999996;17035.832000000002;29084.079999999998;19713.490999999998;29283.802;98415.315;11017.2821;17481.944000000003;63749.906;63164.641;6300.8757;31772.374999999996;47743.143000000004;41098.15;88841.29199999999;18556.806;36948.05299999999;29188.747000000003;42220.94;28506.887;23000.356;19795.483999999997;22972.419;7871.4247000000005;11597.067500000001;10569.7687;2601.1369999999997;10281.6644;24149.637;50819.809;25352.463;16310.9732;2506.8151600000006;5297.0963;11017.2821;20550.641;19255.598;10530.435800000001;19675.041;4424.1394;33657.494999999995;4.0;VALOR
POLLO FILETES;;77911.791;22087.597;11758.835400000002;19368.187;11123.113399999998;13574.056900000001;56273.34000000001;7493.8218;14144.630000000001;44497.004;33414.789000000004;4328.589899999999;25357.696999999996;30368.055999999997;17857.449;48225.504;11712.439000000002;18754.899;19493.079999999998;27951.371999999996;16449.037;10229.515500000003;13767.4897;17712.828999999998;4369.154700000001;5419.7927;6547.6505;3416.3229;4436.253;10706.5103;31086.788999999997;19076.584;12605.652900000003;2175.0078000000003;4170.4246;7493.8218;16713.099;12007.7101;7951.1374000000005;9152.158300000001;4478.8643;13769.567000000003;4.0;VALOR
POLLO POR PIEZAS;;353080.4;93016.74500000001;51235.316999999995;87814.27599999998;53283.31700000001;67730.755;259858.19999999998;32884.581;60337.614;197167.03000000003;155913.36000000002;19174.313;109775.399;135995.03999999998;88135.65699999999;224130.68;53915.807;92057.834;85967.58700000001;121139.17799999999;75940.02500000001;53849.248;65714.023;73763.34;20284.793999999998;25907.543999999998;29830.210000000003;7791.2291000000005;24259.272999999997;55814.903999999995;141674.8;77764.64799999999;53566.795999999995;9194.989100000003;17802.871999999996;32884.581;71381.62000000001;52574.937000000005;32904.902;47493.117999999995;17777.701;71065.693;4.0;VALOR
