Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
.TOTAL ALIMENTACION;;99.978;99.96;99.99;99.997;99.982;99.998;99.982;99.982;99.99;99.965;99.972;99.972;99.994;100.0;99.986;99.981;99.985;99.954;0.0;VALOR
T.HUEVOS KGS;;96.936;98.105;98.504;96.192;97.34;95.231;98.066;98.169;96.361;93.8;94.463;90.89;95.06;97.703;98.259;94.738;97.912;95.026;1.0;VALOR
T.HUEVOS UNDS.;;96.936;98.105;98.504;96.192;97.34;95.231;98.066;98.169;96.361;93.8;94.463;90.89;95.06;97.703;98.259;94.738;97.912;95.026;1.0;VALOR
TOTAL HUEVOS GALLINA;;96.766;97.911;98.154;96.17;97.286;94.515;97.903;98.118;95.868;93.087;94.245;90.779;95.067;97.705;98.133;94.302;97.922;95.039;2.0;VALOR
OTRAS AVES;;16.574;20.97;24.907;14.983;16.179;22.148;20.708;13.054;15.783;16.513;10.269;9.229;5.784;7.068;25.71;17.223;11.126;5.944;2.0;VALOR
MIEL;;34.913;40.305;32.494;42.005;36.943;29.969;31.82;38.285;36.057;24.222;31.68;29.494;29.372;27.022;32.701;22.985;29.76;42.407;1.0;VALOR
GRANEL;;10.813;9.888;17.541;11.616;8.382;13.959;8.492;10.697;20.304;4.462;17.486;15.86;12.088;16.274;13.594;14.034;16.945;5.937;2.0;VALOR
ENVASADA;;28.518;35.173;20.465;40.753;31.047;25.898;25.655;32.444;26.199;23.038;21.93;19.807;23.181;17.346;23.919;15.823;20.27;39.774;2.0;VALOR
TOTAL CARNE;;99.871;99.766;99.967;99.461;99.953;99.976;99.933;99.879;99.943;99.952;99.955;99.839;99.951;99.998;99.935;98.673;99.99;99.504;1.0;VALOR
CARNE CERTIFICADA;;83.515;83.069;85.804;78.717;82.088;83.204;83.839;82.741;82.351;84.054;84.844;88.658;90.011;84.591;84.246;75.583;81.658;81.031;2.0;VALOR
CARNE FRESCA;;99.319;99.137;99.513;97.389;99.635;98.259;99.701;99.229;99.683;99.778;99.56;99.574;99.15;98.094;99.383;98.973;99.369;98.124;2.0;VALOR
SALCHICHAS FRESCAS;;36.173;52.567;51.201;26.593;29.392;44.323;31.856;33.763;44.799;36.256;46.304;24.356;40.067;37.544;37.618;40.559;42.011;8.096;3.0;VALOR
CARNE VACUNO;;91.711;93.551;91.206;88.737;90.554;89.038;88.837;94.878;91.401;82.931;93.399;90.819;92.338;90.544;95.001;92.562;96.467;92.001;3.0;VALOR
TERNERA;;87.478;90.909;88.553;85.165;86.433;84.467;84.153;90.698;87.708;77.327;88.54;88.515;91.07;85.559;90.956;86.806;96.31;79.131;4.0;VALOR
AÑOJO;;56.417;45.276;55.321;41.993;56.411;53.705;54.216;72.317;58.558;47.868;56.896;33.158;46.117;67.597;77.303;52.796;69.645;79.446;4.0;VALOR
MAYOR;;31.527;35.244;35.262;28.868;28.957;27.895;26.303;36.125;28.48;19.145;38.344;20.459;18.209;36.994;48.471;37.765;44.983;37.72;4.0;VALOR
CARNE POLLO;;97.761;97.677;98.427;96.306;98.189;97.62;98.374;97.835;97.857;98.836;98.255;96.786;98.34;97.404;98.425;97.55;95.618;94.267;3.0;VALOR
