Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
ACEITUNA ENV.RELLENA;15.721;18.592;14.734;15.458;15.349;14.116;15.062;15.617;20.079;16.04;15.31;10.839;15.614;17.623;15.033;11.977;15.17;16.806;20.161;13.838;15.946;15.708;16.794;14.72;15.072;17.265;10.929;11.243;15.617;21.432;18.114;17.313;16.981;11.75;14.403;2.0
RESTO ACEITUNAS;5.02;5.606;3.019;5.253;5.849;5.268;5.676;2.757;2.393;3.577;6.85;1.487;2.417;5.779;7.528;3.233;7.349;4.775;4.94;4.267;4.738;3.992;5.699;7.422;4.541;6.24;1.134;2.04;2.757;3.839;7.73;1.992;7.998;2.291;7.433;2.0
TOTAL VINOS;34.523;33.886;34.07;36.027;31.944;35.568;36.663;23.311;29.223;28.955;41.692;21.645;24.985;37.237;44.879;31.196;37.966;36.658;32.468;29.173;32.072;36.214;33.807;35.96;34.726;34.045;19.747;19.046;23.311;32.79;39.23;31.719;43.062;27.636;44.451;1.0
MENOS 75 CL;2.485;3.036;2.493;1.768;2.302;2.729;2.713;1.138;1.839;2.291;2.728;2.514;1.563;2.685;3.098;1.812;3.809;2.138;1.861;3.177;1.519;2.371;2.375;3.501;2.393;2.718;0;2.585;1.138;1.983;2.922;2.454;4.602;1.593;2.795;2.0
75 CL;25.106;23.958;26.991;26.79;22.727;24.832;27.155;14.896;19.214;21.065;30.318;14.686;16.92;26.521;34.591;25.391;28.022;24.866;21.33;18.049;21.359;26.993;25.091;26.692;24.805;25.821;16.708;12.921;14.896;20.593;26.829;23.56;31.298;21.617;34.362;2.0
1 LITRO;10.733;11.97;8.394;10.552;9.713;12.156;11.014;8.212;10.977;8.896;13.093;6.818;8.503;12.127;12.568;7.002;11.325;12.944;12.715;10.023;11.592;11.145;10.459;9.706;11.446;9.093;4.389;6.052;8.212;13.253;14.095;9.156;13.466;5.574;12.654;2.0
BOTELLA;0.918;1.099;1.216;1.058;0.734;0.782;0.981;0.587;0.949;0.865;1.143;0;0.601;1.392;1.211;0.12;1.382;2.029;0.811;0.283;1.14;1.142;1.007;0.593;1.049;0.621;0;0.155;0.587;0.713;2.076;1.516;1.681;0;1.236;3.0
CARTON;9.781;10.981;7.55;9.463;8.836;11.149;10.011;7.661;9.952;8.199;11.806;6.818;7.987;10.927;11.202;6.888;9.867;11.276;11.98;9.736;10.285;10.195;9.483;8.949;10.375;8.452;4.389;5.885;7.661;12.521;12.544;8.036;11.907;5.574;11.243;3.0
OTROS 1 LITRO;0.237;0.177;0;0.152;0.115;0.613;0.273;0;0.147;0.033;0.494;0;0.037;0.083;0.632;0.319;0.426;0;0.083;0;0.76;0.069;0.109;0.417;0.253;0.197;0;0;0;0.133;0;0;0.157;0;0.736;3.0
MAYOR 1 LITRO;2.803;2.127;1.807;3.037;3.118;3.748;3.302;0.648;1.214;1.641;4.299;1.187;1.041;3.372;4.395;2.347;3.969;2.606;2.051;5.809;3.765;2.826;2.289;1.589;3.06;2.191;0.394;1.518;0.648;1.836;2.455;1.544;4.824;2.684;4.483;2.0
BOTELLA;1.593;1.152;0.944;2.005;2.078;2.069;1.837;0.51;0.829;1.038;2.303;0.323;0.847;2.054;2.164;1.26;2.081;1.765;1.308;3.913;2.034;1.593;1.402;0.947;1.744;1.245;0.394;1.135;0.51;1.152;1.401;0.953;3.39;1.651;2.006;3.0
CARTON;0.051;0;0.09;0.058;0.046;0.077;0.064;0;0;0.019;0.093;0;0;0.095;0.069;0;0.05;0.088;0.089;0;0.099;0.094;0;0;0.072;0;0;0;0;0;0.363;0;0;0;0.056;3.0
BAG IN BOX;0.472;0.433;0.292;0.396;0.351;0.807;0.577;0;0.097;0.221;0.805;0;0.022;0.561;0.925;0.689;0.72;0.182;0.177;1.508;0.733;0.496;0.296;0.091;0.579;0.219;0;0;0;0.287;0;0;0.757;0.668;1.077;3.0
OTS.MAYOR LITRO;0.903;0.959;0.716;0.747;0.967;1.17;1.057;0.308;0.382;0.506;1.418;0.847;0.342;1.107;1.313;0.684;1.364;0.67;0.804;2.027;1.232;0.835;0.677;0.673;0.979;0.717;0;0.743;0.308;0.801;0.738;0.583;1.092;1.072;1.436;3.0
T.VINOS CON DOP+IGP;23.853;23.168;26.101;25.308;21.557;23.157;25.908;13.045;18.252;20.007;28.836;15.33;15.833;25.327;32.83;23.895;26.777;23.823;20.156;16.926;21.505;25.363;24.205;24.557;23.837;23.893;16.035;13.962;13.045;19.842;25.244;22.05;30.013;21.329;32.311;2.0
VINOS CON DOP;22.689;22.196;24.6;24.121;20.523;21.921;24.756;12.498;16.581;19.106;27.327;13.913;15.157;23.815;31.574;23.038;25.872;22.066;18.816;16.4;20.199;23.972;23.053;23.911;22.561;22.996;16.003;13.053;12.498;18.147;24.054;20.776;28.857;20.432;30.844;3.0
VINOS TRANQUILOS;17.633;17.029;18.08;19.214;15.781;17.524;19.41;9.578;11.895;14.678;21.452;9.97;10.992;18.928;24.952;18.563;20.424;16.653;13.821;14.818;14.271;18.914;17.009;19.77;17.17;18.735;11.687;8.33;9.578;13.429;18.493;14.509;22.857;17.301;24.76;4.0
