Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;99.709;99.798;99.728;99.649;99.585;99.758;99.755;99.303;99.743;99.637;99.818;99.338;99.589;99.828;99.892;99.676;99.816;99.575;99.758;99.748;99.753;99.649;99.739;99.761;99.71;99.708;99.41;99.732;99.303;99.75;99.808;99.808;99.832;99.689;99.884;0.0
T.HUEVOS KGS;82.502;83.675;79.693;84.076;81.243;82.529;82.912;79.143;82.292;80.036;85.543;77.784;77.455;85.019;86.098;81.529;83.858;82.27;83.838;82.439;81.303;81.526;83.567;85.019;81.623;84.548;70.529;76.322;79.143;82.336;87.648;84.988;83.054;83.012;86.388;1.0
T.HUEVOS UNDS.;82.502;83.675;79.693;84.076;81.243;82.529;82.912;79.143;82.292;80.036;85.543;77.784;77.455;85.019;86.098;81.529;83.858;82.27;83.838;82.439;81.303;81.526;83.567;85.019;81.623;84.548;70.529;76.322;79.143;82.336;87.648;84.988;83.054;83.012;86.388;1.0
TOTAL HUEVOS GALLINA;82.155;83.363;79.322;83.609;80.878;82.292;82.674;78.537;81.438;79.626;85.277;77.626;76.723;84.67;86.051;81.531;83.318;82.054;83.264;81.311;81.258;81.075;83.413;84.625;81.316;84.112;70.13;75.947;78.537;81.781;87.445;84.049;82.457;83.3;86.324;2.0
OTRAS AVES;2.819;3.229;2.439;2.652;3.674;2.374;2.568;3.041;4.211;2.683;3.024;1.23;3.536;2.806;2.586;1.41;3.432;3.32;3.362;1.61;2.651;2.806;2.734;3.52;2.662;3.284;0.781;0.921;3.041;4.212;3.438;3.471;3.263;2.975;2.306;2.0
MIEL;8.786;7.68;6.343;9.229;7.028;11.844;8.954;8.644;7.363;7.105;10.761;8.368;7.234;8.345;10.758;9.374;8.616;8.156;8.568;10.937;6.318;8.53;9.466;9.515;8.878;8.576;8.277;4.16;8.644;7.728;10.173;6.739;9.223;6.022;11.15;1.0
GRANEL;2.477;1.348;1.202;3.416;1.671;3.912;2.802;0.964;1.302;1.467;3.767;0.202;1.497;2.51;3.939;3.258;2.786;2.247;1.323;6.139;1.732;2.283;3.076;1.394;2.687;1.984;2.56;0;0.964;1.664;2.976;2.27;2.688;1.364;4.067;2.0
ENVASADA;6.514;6.456;5.308;6.507;5.397;8.03;6.405;7.431;6.263;5.717;7.491;8.045;5.872;5.859;7.426;6.386;6.174;6.007;7.351;4.79;4.697;6.409;6.91;8.294;6.4;6.785;5.85;4.16;7.431;6.322;7.285;4.51;6.711;4.461;7.741;2.0
TOTAL CARNE;97.879;98.771;98.475;97.332;96.965;97.781;97.793;97.292;98.961;97.666;98.199;95.824;97.832;98.53;98.041;96.441;98.35;98.519;98.771;97.329;98.408;97.7;97.706;98.281;97.808;98.054;94.283;97.044;97.292;99.098;99.24;98.987;98.988;96.587;98.037;1.0
CARNE CERTIFICADA;48.379;52.624;43.696;49.471;48.978;45.78;49.419;42.224;46.695;45.469;52.93;36.45;41.345;53.694;54.195;41.444;49.22;50.72;53.778;46.504;52.581;48.254;46.559;48.316;49.345;46.087;28.175;35.114;42.224;51.627;61.748;46.492;55.265;39.312;53.58;2.0
CARNE FRESCA;93.1;95.069;93.888;92.597;92.097;91.761;92.631;93.219;95.889;92.246;94.411;87.704;92.799;94.708;93.721;88.192;93.617;95.617;96.279;93.43;94.327;93.663;92.437;91.341;93.347;92.522;82.991;91.12;93.219;96.767;97.129;94.945;95.292;89.288;93.268;2.0
