Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
P.P.CONSERVA PASTA;9.575;12.261;9.482;9.131;7.905;8.595;9.432;8.343;11.466;10.748;8.199;9.443;10.121;11.138;7.468;8.498;9.137;10.403;10.677;6.176;9.253;10.356;8.507;10.751;8.869;11.257;9.976;10.542;8.343;12.412;11.846;11.299;9.046;10.082;6.916;3.0
PLAT.PREP.CONGELADO;39.454;46.883;38.614;39.714;36.712;34.294;35.453;50.987;55.764;40.883;37.795;39.824;46.911;38.899;32.617;26.932;34.714;44.344;55.417;36.822;38.1;40.466;38.138;41.117;38.235;42.326;29.876;37.93;50.987;55.862;47.235;45.227;34.698;24.118;31.936;2.0
P.P.CONGELADO CARNE;18.202;21.035;18.447;19.982;16.69;14.417;14.4;28.37;34.635;20.065;16.014;21.298;25.536;16.927;11.286;10.049;14.44;20.781;30.149;17.036;18.586;19.398;16.923;17.201;17.821;19.119;14.331;18.668;28.37;31.574;21.903;24.955;11.101;8.894;11.314;3.0
P.P.CONGEL.PESCADO;20.57;26.879;19.635;20.781;18.105;16.502;17.496;32.997;30.857;21.561;19.419;18.277;26.395;19.638;16.214;10.81;18.276;23.334;32.508;26.387;19.049;21.636;19.836;18.401;20.608;20.48;12.332;18.677;32.997;31.794;24.589;20.269;17.822;8.459;16.553;3.0
P.P.CONGEL.VEGETAL;11.501;15.279;12.799;11.916;9.598;7.775;11.089;11.706;13.956;12.229;10.715;10.696;12.938;13.003;8.853;6.81;11.104;13.101;16.086;9.254;10.792;11.565;10.511;14.353;10.695;13.422;8.782;12.44;11.706;15.224;15.563;15.043;11.729;8.636;8.176;3.0
P.P.CONGELADO PASTA;7.059;7.416;5.743;7.408;7.487;6.941;6.635;6.722;10.019;7.654;6.363;7.903;8.076;7.693;5.125;5.41;6.776;7.103;9.3;5.194;7.242;6.705;7.662;7.632;6.412;8.602;5.253;11.278;6.722;10.398;7.77;9.405;5.147;5.375;5.151;3.0
OTROS P.P.CONGELADO;8.25;11.72;9.238;7.732;6.39;5.998;7.353;11.257;11.835;8.985;7.398;9.789;10.642;7.92;5.763;4.706;6.917;10.149;12.354;8.331;5.618;8.485;8.201;10.197;7.242;10.643;7.074;9.383;11.257;12.735;11.162;9.344;6.774;4.313;5.499;3.0
P.P.SOPAS Y CREMAS;40.262;45.905;44.14;40.65;37.985;33.204;38.852;42.875;47.297;42.39;37.737;40.234;43.139;43.679;33.996;35.98;37.788;43.645;45.286;32.594;34.61;41;40.107;46.809;36.941;47.988;42.882;39.658;42.875;47.851;44.449;43.888;38.579;37.056;34.245;2.0
P.P.GAZPACHO/SALMOR;19.804;24.752;23.254;19.504;17.973;14.209;19.737;20.549;19.826;21.495;17.805;19.476;20.792;21.898;16.889;19.432;18.808;21.248;20.139;10.704;14.051;20.189;20.203;26.884;16.87;26.634;22.688;23.405;20.549;20.133;20.73;22.006;18.686;21.183;17.043;3.0
P.P.SOPAS Y CR.HORT;9.636;10.291;11.073;9.169;9.074;8.96;9.895;9.403;8.202;9.553;9.737;11.512;8.935;10.472;9.089;8.949;10.429;10.308;8.954;10.273;7.764;9.536;10.272;10.411;8.678;11.901;9.968;10.391;9.403;9.377;8.97;9.764;10.318;10.274;9.325;3.0
