Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
SALCHICHAS FRESCAS;8.096;9.514;7.774;7.877;8.649;6.86;7.971;8.142;8.941;8.557;7.695;3.94;7.651;10.67;7.206;4.1;8.195;10.02;11.054;8.119;8.887;8.062;7.418;8.608;7.9;8.539;2.323;7.722;8.142;9.97;15.401;6.996;9.883;5.132;6.352;3.0
CARNE VACUNO;51.839;56.491;51.816;51.715;51.1;47.945;51.946;49.757;53.81;49.268;54.876;41.909;48.25;56.044;54.012;41.535;52.28;58.899;57.241;51.332;49.155;52.354;51.957;53.074;51.035;53.735;32.894;41.027;49.757;57.632;65.097;53.551;58.169;37.925;53.113;3.0
TERNERA;42.401;47.182;43.977;42.327;39.703;38.521;42;42.87;45.454;40.951;44.131;34.732;40.857;45.561;42.893;32.575;41.863;49.605;48.374;41.93;41.309;43.026;41.806;42.929;41.665;44.115;28.79;32.372;42.87;49.321;54.058;45.204;47.089;28.353;41.827;4.0
AÑOJO;16.215;16.78;14.815;19.117;16.461;13.383;16.437;13.6;17.133;14.171;18.589;11.439;13.648;18.46;17.848;12.565;16.602;17.86;18.605;14.894;15.21;16.132;16.341;18.098;15.32;18.355;4.988;12.421;13.6;18.645;21.86;16.43;19.447;8.633;18.134;4.0
MAYOR;5.423;6.67;6.858;4.182;7.193;3.702;5.568;4.519;4.923;5.427;5.432;3.151;5.716;6.289;4.797;4.283;6.042;5.024;6.521;3.31;4.27;5.272;6.453;6.05;5.225;5.882;3.814;5.091;4.519;5.57;8.348;3.55;5.848;6.363;4.984;4.0
CARNE POLLO;74.493;77.702;73.165;75.039;70.641;74.01;73.474;76.2;79.875;72.643;76.655;64.522;73.752;76.715;75.975;63.42;74.127;78.966;83.35;79.329;74.53;74.991;73.285;73.263;74.521;74.43;51.882;64.501;76.2;82.185;83.92;80.54;79.168;59.199;74.993;3.0
POLLO ENTERO;18.88;20.989;16.734;19.668;17.904;18.302;18.487;17.805;22.353;17.312;20.69;11.879;15.877;22.454;20.155;11.415;17.391;21.725;26.797;24.329;21.929;19.717;17.683;13.882;19.91;16.505;6.669;9.339;17.805;26.469;31.092;16.385;19.81;6.159;20.268;4.0
POLLO FILETES;30.111;33.487;29.134;29.642;29.603;28.442;29.19;31.001;35.53;30.701;29.485;25.951;31.162;33.758;26.478;22.887;26.746;36.066;37.377;28.168;28.381;30.06;31.45;30.901;29.23;32.161;21.434;23.61;31.001;39.654;40.057;35.814;28.954;23.489;25.643;4.0
POLLO POR PIEZAS;63.945;67.285;62.215;65.779;60.594;61.892;62.592;66.775;70.558;62.536;65.594;52.749;64.457;66.218;64.185;51.472;63.332;69.108;74.153;68.062;64.888;64.549;62.12;62.858;63.576;64.807;38.952;53.912;66.775;72.476;74.683;69.742;69.756;47.511;63.231;4.0
CARNE CONEJO;10.598;10.803;10.009;9.444;10.536;12.196;11.796;4.952;6.628;7.884;13.828;3.71;6.442;11.151;15.758;7.577;13.886;11.957;9.135;10.229;12.355;11.142;9.671;9.426;11.027;9.616;5.921;4.04;4.952;8.326;14.191;7.344;17.116;4.89;14.714;3.0
