Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
P.P.PASTA RESTO;11.7;13.415;11.76;12.718;12.559;8.361;9.872;14.043;21.246;13.972;8.919;17.614;15.605;12.28;5.722;7.265;8.613;14.624;18.334;6.602;12.966;12.089;12.032;11;11.463;12.299;16.281;12.784;14.043;21.221;15.247;17.547;7.641;6.914;4.94;2.0
TORTILLAS REFRIGERAD;13.029;17.433;13.919;12.274;11.704;9.808;11.67;15.477;19.627;15.61;9.848;12.181;17.14;14.125;7.845;9.981;10.892;13.672;18.873;9.331;10.412;12.841;14.274;15.446;12.103;15.217;15.173;14.447;15.477;19.42;17.289;16.302;9.702;9.972;8.09;2.0
PLAT.PREP.OTROS;49.049;59.11;55.371;48.502;48.484;36.257;45.155;58.468;66.323;55.811;40.649;58.457;59.483;51.768;32.887;38.391;46.545;53.354;62.558;39.081;44.155;49.878;50.778;52.498;47.291;53.183;52.682;57.397;58.468;65.153;58.201;58.978;48.531;45.773;29.577;2.0
CAFES E INFUSIONES;65.942;68.169;63.298;65.216;66.965;65.542;67.198;59.714;62.965;63.722;68.754;57.107;60.541;71.35;68.578;58.87;69.228;68.8;68.166;62.191;65.364;66.958;66.575;64.381;66.654;64.251;49.803;57.186;59.714;65.897;76.595;68.049;73.487;61.299;67.971;1.0
CAFE G. O M.TORREFAC;0.635;0.608;0.458;0.594;0.422;0.982;0.534;1.188;0.889;0.545;0.754;0.107;0.76;0.535;0.762;0.616;0.631;0.401;0.88;0.767;0.651;0.878;0.344;0.444;0.768;0.328;0;0.227;1.188;0.842;0.468;0.327;0.89;0.286;0.75;2.0
CAFE G. O M.NATURAL;28.679;35.266;29.344;28.532;27.749;22.492;28.434;27.52;30.866;30.259;26.741;26.061;28.92;32.715;24.817;22.208;31.452;31.58;30.995;23.095;27.076;29.541;27.915;31.157;28.294;29.563;21.074;29.094;27.52;31.292;35.436;29.809;34.851;28.418;23.525;2.0
CAFE G. O M.MEZCLA;12.069;10.703;10.976;11.914;12.08;14.305;12.556;10.571;10.255;10.341;14.165;7.192;10.676;13.676;13.073;10.811;12.726;11.644;13.323;9.712;12.691;11.252;13.058;12.904;11.567;13.266;6.826;8.769;10.571;11.085;16.405;12.197;14.489;11.247;12.859;2.0
CAFE G. O M.DESCA;12.04;13.237;10.657;10.737;12.824;12.57;12.804;9.336;9.183;10.015;14.581;4.906;8.309;13.93;15.47;9.358;14.321;12.856;11.724;11.764;10.446;12.433;11.355;13.764;11.781;12.657;4.572;7.998;9.336;9.821;16.313;9.571;16.023;8.121;15.543;2.0
CAFE SOLUBLE;20.591;19.637;18.531;20.946;21.996;21.563;21.318;17.206;18.602;18.95;22.612;17.138;17.292;22.028;23.322;17.42;20.937;24.27;20.908;22.849;21.442;21.292;20.916;16.755;21.813;17.733;14.495;14.964;17.206;19.534;25.648;22.399;22.641;17.213;23.159;2.0
DESCAFEINADO CS;7.595;5.297;5.459;6.453;10.135;10.786;8.55;3.845;4.23;4.815;10.985;3.899;3.965;7.758;11.888;6.928;9.138;8.447;5.761;9.961;8.436;8.021;7.706;4.797;8.329;5.857;3.311;4.33;3.845;4.537;8.31;6.906;9.552;6.173;11.812;3.0
