Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
MELON PIEL DE SAPO;6.489;8.305;7.444;5.622;6.442;5.621;6.227;7.889;7.466;6.251;6.931;2.151;6.369;7.241;6.955;4.888;6.866;6.715;7.934;6.965;8.882;6.323;5.019;6.879;6.654;6.193;3.694;2.591;7.889;7.457;8.036;5.329;5.945;6.808;7.327;3.0
MELON CANTALOUP;0.126;0.255;0.099;0.074;0.093;0.097;0.135;0;0.138;0.143;0.105;0.511;0.059;0.111;0.111;0.079;0.24;0.07;0.077;0;0;0.047;0.294;0.231;0.126;0.124;0;0.532;0;0;0.148;0.214;0;0.231;0.131;3.0
SANDIA;8;9.851;8.777;8.818;6.287;6.042;7.17;11.626;10.853;7.993;8.07;4.889;9.141;7.284;8.441;6.275;6.314;10.145;10.745;14.784;9.019;8.236;5.436;7.935;8.179;7.572;4.845;6.711;11.626;10.782;9.284;7.828;6.894;3.915;8.243;2.0
CIRUELAS;7.688;7.709;11.396;6.969;5.688;7.774;7.367;9.995;8.753;8.484;7.183;3.747;8.985;6.898;8.358;9.235;5.664;7.37;9.392;6.56;8.944;7.107;7.986;8.787;7.927;7.179;6.806;3.094;9.995;9.672;8.082;5.65;7.667;9.248;8.124;2.0
CEREZAS;0.434;0.28;0.274;0.747;0;0.619;0.519;0.212;0.067;0.119;0.822;0;0.032;0.39;0.99;0.451;0.566;0.523;0.173;1.026;0.173;0.093;0.916;0.571;0.414;0.486;0;0;0.212;0.062;0.72;0;0.555;0;1.063;2.0
UVAS;19.939;24.077;21.293;19.075;19.262;16.632;18.016;28.525;25.983;21.116;18.582;16.71;24.123;18.285;18.44;17.345;16.991;21.63;25.303;21.432;18.792;20.387;18.891;20.97;20.194;19.315;21.717;12.978;28.525;25.718;19.839;21.053;18;14.502;18.5;2.0
KIWI;35.441;39.938;39.349;35.387;30.988;31.867;35.208;35.67;38.86;34.94;36.695;25.739;33.491;37.02;40.026;30.248;37.907;38.034;36.873;37.315;34.839;34.523;36.26;36.435;34.999;36.509;25.813;26.963;35.67;37.837;38.156;34.357;41.917;26.744;40.397;2.0
AGUACATE;37.743;43.399;41.483;40.171;34.661;29.223;37.016;41.701;40.447;41.126;33.75;41.941;38.112;40.261;34.413;34.378;37.339;37.654;42.569;27.884;34.15;37.433;39.163;43.329;36.067;41.792;38.082;35.686;41.701;41.468;41.623;40.037;40.44;36.083;32.847;2.0
PIÑA;17.607;20.299;17.538;17.755;17.163;15.259;17.572;16.913;19.257;17.205;18.138;15.518;16.28;19.535;17.921;13.596;18.598;18.708;20.362;16.726;16.51;18.348;16.19;19.694;17.234;18.561;12.992;16.008;16.913;20.392;21.026;17.033;21.199;13.394;17.425;2.0
OTRAS FRUTAS FRESCAS;33.599;39.162;32.527;36.434;31.53;27.26;33.997;32.08;32.334;34.605;32.412;26.906;31.537;35.52;35.411;32.093;35.602;34.287;32.366;28.769;28.611;35.515;32.047;37.375;32.432;36.425;21.717;29.253;32.08;34.039;33.903;33.659;37.738;34.797;35.275;2.0
