Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
TOTAL PATATAS;78.998;83.097;80.567;79.137;75.909;75.853;78.453;78.223;83.659;78.495;79.594;77.498;77.965;81.564;78.384;72.881;79.6;81.724;84.113;75.628;74.732;79.989;78.872;81.876;77.95;81.433;69.393;75.27;78.223;84.06;86.429;82.747;81.737;72.672;77.884;1.0
PATATAS FRESCAS;61.796;60.787;65.89;61.73;60.593;61.132;63.187;54.297;58.984;57.878;66.393;50.874;52.688;67.899;67.782;59.111;61.758;63.418;63.884;51.822;58.456;62.256;62.492;66.247;59.54;67.033;42.808;49.223;54.297;61.941;72.083;61.702;65.639;58.698;67.913;2.0
PATATAS CONGELADAS;10.821;12.284;10.733;11.549;11.668;8.135;8.361;21.274;18.999;12.198;9.226;18.552;15.779;9.569;5.254;4.366;9.066;13.845;18.098;5.829;10.932;11.863;10.437;10.649;10.552;11.446;9.028;14.289;21.274;18.396;13.162;14.709;6.912;5.403;4.451;2.0
PATATAS PROCESADAS;51.777;59.773;55.473;51.555;49.028;43.5;49.201;56.213;64.944;54.857;48.178;53.182;57.895;53.365;43.817;40.434;50.867;56.556;62.223;47.981;48.756;53.235;51.53;52.777;50.81;54.048;46.298;54.892;56.213;63.815;58.272;59.6;52.405;42.453;42.605;2.0
PATATAS FRITAS;50.067;57.799;53.487;50.318;47.177;41.806;47.34;54.928;63.843;53.226;46.374;49.617;56.532;51.839;42.005;38.843;48.2;55.732;60.729;45.421;47.432;51.798;49.208;51.263;48.864;52.877;42.537;51.588;54.928;62.923;56.949;57.658;50.453;41.611;40.797;3.0
T.HORTALIZAS FRESCAS;95.349;96.259;95.966;95.485;94.321;94.527;95.663;94.394;94.766;94.997;95.856;92.103;94.407;96.63;96.826;94.488;95.863;95.885;95.396;94.451;94.888;95.411;95.398;95.996;95.097;95.939;90.788;94.859;94.394;95.603;97.328;95.457;97.039;94.075;96.68;1.0
TOMATES;73.563;76.341;73.551;74.388;71.065;71.596;75.412;68.114;67.447;71.538;76.011;62.538;67.404;78.901;78.426;70.988;76.515;74.413;72.461;68.33;71.587;73.004;74.134;77.763;72.759;75.453;59.193;68.378;68.114;72.79;80.157;72.164;80.226;68.85;78.268;2.0
CEBOLLAS;62.868;67.411;62.91;62.189;60.728;60.629;63.911;59.466;59.052;59.431;66.839;49.568;55.602;67.219;69.404;56.37;66.716;67.857;61.642;57.486;61.261;65.518;61.809;61.408;61.828;65.281;30.478;58.255;59.466;61.238;71.048;59.883;69.136;59.058;69.506;2.0
AJOS;34.86;36.955;33.403;35.608;30.5;35.801;36.926;25.219;27.825;31.609;38.58;20.444;27.259;37.312;43.23;33.002;38.421;34.287;33.436;38.029;35.146;35.601;34.292;32.493;35.763;32.776;14.893;27.506;25.219;28.96;40.741;32.453;40.138;28.749;44.714;2.0
COLES;17.831;16.825;17.903;18.782;16.564;18.615;19;13.605;13.518;14.382;21.818;9.297;13.737;17.715;24.292;15.634;21.588;19.772;14.283;13.125;19.575;17.994;17.333;18.59;17.982;17.479;7.249;10.694;13.605;14.019;21.62;15.609;21.131;12.052;24.604;2.0
