Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
CHOC.TABLETA OTROS;28.615;32.846;30.183;27.52;27.225;25.726;28.092;27.435;32.911;28.343;29.016;24.593;27.362;30.383;29.334;24.139;29.282;30.782;31.41;30.806;29.399;27.865;30.089;27.024;29.11;27.443;22.4;26.364;27.435;31.472;32.267;30.204;29.551;25.977;28.558;4.0
TURRON DE CHOCOLATE;0.278;0.436;0.241;0.271;0.286;0.151;0.268;0.368;0.259;0.286;0.268;0.292;0.238;0.354;0.239;0.129;0.46;0.131;0.344;0.359;0.224;0.321;0.3;0.177;0.265;0.309;0.674;0.307;0.368;0.419;0.173;0;0.319;0;0.281;3.0
O.PROD.CHOC./CACAO;36.291;44.327;35.955;36.934;35.443;28.764;31.816;51.545;53.62;39.092;32.883;40.112;43.788;34.659;29.683;23.408;32.607;43.362;50.603;41.802;38.919;37.363;36.191;29.204;37.77;32.758;25.797;35.149;51.545;52.776;42.032;42.413;32.381;21.758;28.068;2.0
BOMBONES;4.842;4.911;4.628;5.016;4.776;4.763;5.03;3.768;4.415;4.582;5.192;4.319;4.027;4.871;5.844;4.964;4.83;4.726;4.825;5.781;4.335;4.492;5.533;4.846;4.848;4.883;3.663;2.734;3.768;4.844;5.166;3.799;5.473;5.443;5.866;3.0
SNACKS CHOCOLATE;14.218;16.464;16.219;13.782;15.572;10.542;11.685;25.695;22.321;16.084;11.967;20.266;20.075;11.92;9.452;9.117;12.844;17.996;18.953;16.277;13.153;15.43;13.877;11.932;14.858;12.691;16.132;16.342;25.695;20.733;13.226;17.084;12.07;7.758;8.99;3.0
CACAO SOLUBLE;14.676;17.713;13.468;15.953;13.935;11.703;12.967;18.525;23.064;14.906;14.419;15.765;16.392;14.788;12.69;7.618;13.172;18.781;21.847;13.314;17.379;15.208;14.565;11.454;15.317;13.122;5.266;12.63;18.525;22.193;20.314;17.577;14.811;6.74;11.875;3.0
NORMAL;14.486;17.506;13.254;15.708;13.86;11.539;12.791;18.518;22.635;14.743;14.195;15.765;16.116;14.643;12.491;7.437;13.021;18.702;21.502;13.314;17.141;14.985;14.361;11.343;15.158;12.855;5.266;12.245;18.518;21.892;20.171;17.198;14.647;6.74;11.64;4.0
LIGHT;0.265;0.213;0.206;0.413;0.151;0.256;0.255;0.112;0.424;0.222;0.317;0;0.397;0.212;0.251;0.168;0.272;0.232;0.405;0;0.452;0.308;0.198;0.185;0.254;0.292;0;0.339;0.112;0.305;0.254;0.374;0.432;0;0.295;4.0
CREMA CACAO UNTAR;10.987;15.284;11.364;11.204;10.434;6.755;8.018;19.577;24.013;13.279;8.211;10.889;17.573;10.043;5.577;3.971;8.747;12.766;21.22;15.53;13.597;10.954;10.33;7.983;11.508;9.728;6.472;11.19;19.577;22.397;13.259;15.641;6.64;5.479;4.933;3.0
ARROZ;43.542;49.763;45.37;43.084;42.108;37.979;41.822;48.002;51.681;44.519;42.375;48.245;43.515;46.941;39.106;29.882;43.839;50.295;54.439;43.071;46.84;42.501;44.354;42.329;43.363;43.974;29.942;46.43;48.002;54.542;54.069;50.134;43.446;29.138;38.169;1.0
LARGO;7.72;8.339;7.305;7.928;8.971;6.437;6.368;14.63;11.527;8.329;6.98;18.43;8.25;7.537;4.853;3.602;7.21;9.147;12.398;7.274;5.6;7.88;7.807;9.414;7.368;8.585;5.539;10.758;14.63;10.41;10.416;10.25;6.419;2.347;4.619;2.0
NORMAL;21.081;24.236;22.989;19.9;20.409;18.641;20.996;19.091;23.017;20.206;22.134;15.177;19.389;22.642;22.34;13.128;22.939;23.11;26.959;27.425;27.039;20.653;19.009;17.25;21.539;19.978;13.802;16.383;19.091;25.911;26.746;21.729;25.462;9.337;21.839;4.0
VAPORIZADO;3.787;4.017;4.15;4.223;3.497;3.094;3.583;3.725;5.124;3.964;3.575;3.809;4.011;4.224;3.081;2.342;3.489;4.965;4.984;2.84;2.748;3.964;4.84;3.057;4.109;3.006;2.848;4.788;3.725;5.725;5.39;4.487;2.844;2.628;2.777;2.0
P.P.CONSERVA ARROZ;7.566;9.907;8.235;7.983;6.606;5.147;7.406;6.836;9.083;9.138;5.664;10.566;9.207;7.527;5.358;7.056;6.542;8.975;8.257;4.822;6.311;7.344;7.911;9.897;6.898;9.174;8.289;13.677;6.836;9.876;9.752;8.679;4.766;7.176;5.184;2.0
P.P.CONGELADO ARROZ;6.142;6.766;5.929;6.407;6.273;5.318;5.711;7.187;8.211;6.587;5.61;8.327;6.97;6.767;4.148;3.631;5.399;7.474;9.085;6.323;5.644;5.989;6.017;7.223;5.807;6.995;2.955;7.163;7.187;9.569;7.577;9.183;4.859;4.786;4.023;2.0
P.P.ARROZ RESTO;0.179;0.178;0.385;0.212;0.111;0.062;0.19;0;0.229;0.167;0.195;0.21;0.171;0.245;0.113;0;0.311;0.291;0.122;0;0.289;0.172;0.223;0.078;0.196;0.139;0;0.135;0;0.171;0.346;0.544;0.28;0;0.133;2.0
OTROS TIPOS ARROZ;7.398;9.547;7.566;8.336;5.452;5.534;7.006;9.058;8.86;7.567;7.201;6.746;6.787;9.383;6.014;4.735;6.917;9.064;9.851;3.624;6.819;7.738;8.489;6.774;7.303;7.641;4.403;5.416;9.058;10.032;10.233;8.062;7.461;5.483;6.05;2.0
